scope,individual,state,state_median_pseudotime,nearest_window_index,nearest_window_parameter,absolute_parameter_difference,nearest_window_median_day,nearest_window_dominant_state
shared_backbone,19127,CMES,0.30796184,44,0.305077615,0.0028842249999999625,3.0,CMES
shared_backbone,19127,PROG,0.33992822,54,0.341025145,0.0010969249999999708,5.0,PROG
shared_backbone,19159,IPSC,0.038798816,20,0.038431189000000004,0.0003676269999999954,0.0,IPSC
shared_backbone,19159,MES,0.027495997,12,0.0277529365,0.00025693949999999743,0.0,IPSC
shared_backbone,19159,CMES,0.33477678,43,0.33418033999999996,0.0005964400000000314,3.0,CMES
shared_backbone,19159,PROG,0.379604,51,0.37729823,0.0023057699999999848,5.0,PROG
shared_backbone,19190,IPSC,0.02559383,17,0.0254787445,0.00011508550000000062,0.0,IPSC
shared_backbone,19190,MES,0.041906796,36,0.042281473,0.0003746769999999969,1.0,MES
shared_backbone,19190,CMES,0.31270877,63,0.31433254,0.0016237699999999688,3.0,CMES
shared_backbone,19190,PROG,0.3421823,76,0.342948825,0.0007665250000000179,5.0,PROG
shared_backbone,19193,IPSC,0.0271987019999999,14,0.0270652275,0.0001334744999999006,0.0,IPSC
shared_backbone,19193,MES,0.033076502,18,0.0326005385,0.0004759635000000026,0.0,IPSC
shared_backbone,19193,CMES,0.32815273,44,0.32809238,6.03499999999868e-05,3.0,CMES
shared_backbone,19193,PROG,0.333821485,48,0.33387867000000004,5.718500000007065e-05,3.0,CMES
shared_backbone,19209,IPSC,0.027816156,12,0.028547556,0.0007314000000000001,0.0,IPSC
shared_backbone,19209,MES,0.069370658,29,0.068148055,0.0012226030000000027,3.0,MES
shared_backbone,19209,CMES,0.2835148,59,0.28262767,0.0008871300000000137,7.0,PROG
shared_backbone,19209,PROG,0.31164765,67,0.31034653,0.001301119999999989,7.0,PROG
cm_extension,18489,IPSC,0.0289205175,15,0.0284677495,0.0004527679999999992,0.0,IPSC
cm_extension,18489,MES,0.0315319275,17,0.031603558000000004,7.163050000000282e-05,0.0,IPSC
cm_extension,18489,CMES,0.28783527,41,0.285169375,0.0026658949999999737,3.0,CMES
cm_extension,18489,PROG,0.30592346,44,0.30571404,0.0002094199999999602,3.0,CMES
cm_extension,18489,CM,0.44328415,57,0.42996988,0.013314269999999961,7.0,CM
cm_extension,18499,IPSC,0.025684807,15,0.0252816145,0.00040319249999999987,1.0,MES
cm_extension,18499,MES,0.05799054,47,0.0580239595,3.341949999999955e-05,1.0,MES
cm_extension,18499,CMES,0.23174533,88,0.23207592500000002,0.00033059500000001685,7.0,PROG
cm_extension,18499,PROG,0.28886803,102,0.29054685,0.0016788200000000253,7.0,PROG
cm_extension,18499,CM,0.39467457,126,0.39440016499999997,0.0002744050000000331,11.0,CM
cm_extension,18505,IPSC,0.029764304,9,0.029515793499999998,0.00024851050000000013,1.0,MES
cm_extension,18505,MES,0.05144926,23,0.0519555335,0.0005062735000000013,1.0,MES
cm_extension,18505,CMES,0.2689006,43,0.27054133,0.0016407300000000347,3.0,CMES
cm_extension,18505,PROG,0.31241092,52,0.313850685,0.0014397650000000373,7.0,PROG
cm_extension,18505,CM,0.55877495,66,0.55357921,0.005195740000000004,11.0,CM
cm_extension,18508,IPSC,0.027092571,17,0.0268772265,0.000215344499999999,0.0,IPSC
cm_extension,18508,MES,0.065810025,35,0.061912874,0.0038971509999999945,0.0,MES
cm_extension,18508,CMES,0.325505585,63,0.32530707999999997,0.00019850500000001547,3.0,CMES
cm_extension,18508,PROG,0.2775967,50,0.27620829,0.001388409999999951,3.0,CMES
cm_extension,18508,CM,0.6593754,84,0.6786547,0.01927930000000011,7.0,CM
cm_extension,18511,IPSC,0.028513549,25,0.028841499,0.00032795000000000046,1.0,MES
cm_extension,18511,MES,0.04391705,45,0.043911335999999995,5.714000000003883e-06,1.0,MES
cm_extension,18511,CMES,0.26849953,79,0.27305454,0.004555010000000026,6.0,PROG
cm_extension,18511,PROG,0.327949375,94,0.328297675,0.0003483000000000236,5.0,PROG
cm_extension,18511,CM,0.42686644,112,0.416084185,0.010782255000000018,7.0,CM
cm_extension,18517,IPSC,0.02684189,17,0.026823638,1.825199999999985e-05,1.0,MES
cm_extension,18517,MES,0.033099593,24,0.0330389495,6.064349999999885e-05,1.0,MES
cm_extension,18517,CMES,0.27856214,51,0.279519615,0.0009574749999999854,5.0,CMES
cm_extension,18517,PROG,0.32714881,63,0.32766841,0.0005196000000000089,5.0,PROG
cm_extension,18517,CM,0.46599331,81,0.473171575,0.007178265000000017,7.0,CM
cm_extension,18520,IPSC,0.0333570725,11,0.0324748025,0.0008822700000000044,1.0,MES
cm_extension,18520,MES,0.0569987335,21,0.0581018905,0.0011031570000000004,1.0,MES
cm_extension,18520,CMES,0.29993442,58,0.29953588,0.0003985400000000028,5.0,PROG
cm_extension,18520,PROG,0.29552611,57,0.296134055,0.0006079449999999986,5.0,PROG
cm_extension,18520,CM,0.43657294,78,0.42608007999999997,0.010492860000000048,11.0,CM
cm_extension,18855,IPSC,0.030864147,9,0.0308786825,1.4535499999999285e-05,1.0,MES
cm_extension,18855,MES,0.0412130074999999,15,0.041599739999999996,0.0003867325000000976,1.0,MES
cm_extension,18855,CMES,0.3059474,33,0.305166555,0.0007808449999999745,5.0,PROG
cm_extension,18855,PROG,0.30925772,34,0.31253857500000004,0.003280855000000027,5.0,PROG
cm_extension,18855,CM,0.40134957,42,0.40127560500000004,7.396499999995365e-05,11.0,CM
cm_extension,18858,IPSC,0.028164186,27,0.027869410999999997,0.00029477500000000406,1.0,MES
cm_extension,18858,MES,0.038656299,42,0.039061184,0.00040488500000000066,1.0,MES
cm_extension,18858,CMES,0.27102716,82,0.26836067500000005,0.0026664849999999407,7.0,PROG
cm_extension,18858,PROG,0.3146237,92,0.31385145000000003,0.0007722499999999743,7.0,PROG
cm_extension,18858,CM,0.49036673,112,0.48423412499999996,0.006132605000000013,11.0,CM
cm_extension,18870,IPSC,0.024416789,17,0.024357311,5.9478000000001696e-05,0.0,IPSC
cm_extension,18870,MES,0.06660028,39,0.0657760825,0.0008241974999999985,1.0,MES
cm_extension,18870,CMES,0.25883543,76,0.25920086,0.0003654299999999999,7.0,PROG
cm_extension,18870,PROG,0.27947646,83,0.279631065,0.00015460500000002986,7.0,PROG
cm_extension,18870,CM,0.35724792,110,0.35579095,0.0014569700000000019,15.0,PROG
cm_extension,18907,IPSC,0.03573944,10,0.0361600985,0.00042065850000000404,0.0,IPSC
cm_extension,18907,MES,0.031076798,8,0.031848568,0.0007717700000000015,1.0,MES
cm_extension,18907,CMES,0.30431904,34,0.305574505,0.0012554650000000112,3.0,CMES
cm_extension,18907,PROG,0.313769875,36,0.31243007,0.0013398049999999717,3.0,CMES
cm_extension,18907,CM,0.40318394,52,0.397222,0.005961939999999999,11.0,CM
cm_extension,18912,IPSC,0.026255557,21,0.026362833000000002,0.00010727600000000337,0.0,IPSC
cm_extension,18912,MES,0.0413723119999999,35,0.041798345,0.00042603300000010336,0.0,IPSC
cm_extension,18912,CMES,0.31262648,76,0.312090395,0.000536084999999964,5.0,CMES
cm_extension,18912,PROG,0.3131859099999999,77,0.31393335,0.0007474400000000991,3.0,CMES
cm_extension,18912,CM,0.5144707,115,0.5105461,0.003924599999999945,11.0,CM
cm_extension,19093,IPSC,0.0369758225,27,0.036752345,0.00022347749999999944,1.0,MES
cm_extension,19093,MES,0.0534829535,55,0.0537951755,0.0003122220000000009,1.0,MES
cm_extension,19093,CMES,0.31081943,108,0.31149993,0.0006804999999999728,5.0,PROG
cm_extension,19093,PROG,0.32352218,114,0.32357687,5.4690000000023886e-05,5.0,PROG
cm_extension,19093,CM,0.6336237849999999,140,0.6359779999999999,0.002354214999999993,7.0,CM
cm_extension,19108,IPSC,0.0260334975,7,0.0260334975,0.0,0.0,IPSC
cm_extension,19108,MES,0.050665893,19,0.0502709165,0.000394976499999998,1.0,MES
cm_extension,19108,CMES,0.293644,31,0.29133089,0.002313110000000007,3.0,CMES
cm_extension,19108,PROG,0.319511145,33,0.32432611499999997,0.004814969999999974,5.0,CMES
cm_extension,19108,CM,0.37534056,33,0.32432611499999997,0.05101444500000002,5.0,CMES
cm_extension,19193,IPSC,0.0271987019999999,14,0.0270652275,0.0001334744999999006,0.0,IPSC
cm_extension,19193,MES,0.033076502,18,0.0326005385,0.0004759635000000026,0.0,IPSC
cm_extension,19193,CMES,0.32815273,46,0.328858915,0.0007061849999999703,3.0,CMES
cm_extension,19193,PROG,0.333821485,50,0.33395708999999996,0.0001356049999999831,3.0,CMES
cm_extension,19193,CM,0.374162195,61,0.37453161,0.00036941500000003957,11.0,CM
cm_extension,19209,IPSC,0.027816156,12,0.028547556,0.0007314000000000001,0.0,IPSC
cm_extension,19209,MES,0.069370658,29,0.068148055,0.0012226030000000027,3.0,MES
cm_extension,19209,CMES,0.2835148,60,0.28522306,0.0017082599999999615,7.0,PROG
cm_extension,19209,PROG,0.31164765,68,0.31040268,0.001244970000000012,7.0,PROG
cm_extension,19209,CM,0.3930151149999999,91,0.394765225,0.0017501100000000824,15.0,CM
cf_extension,18489,IPSC,0.0289205175,15,0.0284677495,0.0004527679999999992,0.0,IPSC
cf_extension,18489,MES,0.0315319275,17,0.031603558000000004,7.163050000000282e-05,0.0,IPSC
cf_extension,18489,CMES,0.28783527,42,0.28750427,0.0003309999999999702,3.0,CMES
cf_extension,18489,PROG,0.30592346,45,0.30501105,0.0009124099999999746,3.0,CMES
cf_extension,18489,CF,0.355965305,56,0.35723773000000003,0.0012724250000000215,11.0,CF
cf_extension,18508,IPSC,0.027092571,17,0.0268772265,0.000215344499999999,0.0,IPSC
cf_extension,18508,MES,0.065810025,35,0.061912874,0.0038971509999999945,0.0,MES
cf_extension,18508,CMES,0.325505585,65,0.32515548,0.00035010499999998945,3.0,CMES
cf_extension,18508,PROG,0.2775967,51,0.2800884,0.002491700000000041,3.0,CMES
cf_extension,18508,CF,0.41162326,100,0.41232045,0.0006971900000000142,11.0,CF
cf_extension,18511,IPSC,0.028513549,25,0.028841499,0.00032795000000000046,1.0,MES
cf_extension,18511,MES,0.04391705,45,0.043911335999999995,5.714000000003883e-06,1.0,MES
cf_extension,18511,CMES,0.26849953,79,0.26744988999999997,0.0010496400000000183,7.0,PROG
cf_extension,18511,PROG,0.327949375,97,0.32831817,0.00036879500000003285,5.0,PROG
