scope,individual,transition_id,destination_state,destination_state_median_pseudotime,primary_parameter_min,primary_parameter_max,landmark_inside_primary_parameter_range,nearest_window_index,nearest_window_parameter,absolute_parameter_difference,nearest_window_median_day,nearest_window_dominant_state
cf_extension,18855,T3_CF,CF,0.4039907,0.01420406175,0.447423815,True,62,0.40466697500000004,0.0006762750000000595,11.0,CF
cf_extension,18907,T3_CF,CF,0.3817951,0.014147929,0.430679515,True,64,0.380275605,0.0015194949999999818,11.0,CF
cf_extension,18912,T3_CF,CF,0.36847245,0.0080636965,0.39589111499999996,True,102,0.36759627500000003,0.000876174999999979,7.0,PROG
cf_extension,19093,T3_CF,CF,0.4099755,0.012019524,0.446863455,True,143,0.410378365,0.00040286500000003,7.0,CF
cf_extension,19108,T3_CF,CF,0.37690464,0.013453955,0.325725825,False,33,0.325725825,0.05117881499999999,5.0,CMES
cf_extension,19127,T3_CF,CF,0.40934077,0.009876764,0.450146245,True,79,0.40802077000000003,0.0013199999999999878,11.0,CF
cf_extension,19159,T3_CF,CF,0.43521515,0.011886392999999999,0.45745587499999996,True,92,0.43535278,0.0001376299999999997,11.0,CF
cf_extension,19190,T3_CF,CF,0.41572344,0.008986359499999999,0.4541094,True,126,0.415320885,0.00040255500000002664,11.0,CF
cf_extension,19193,T3_CF,CF,0.39365986,0.009603269,0.44356114,True,72,0.393553245,0.00010661499999997659,11.0,CF
cf_extension,19209,T3_CF,CF,0.3508313,0.010101056,0.3712456,True,82,0.34883655,0.0019947499999999896,11.0,PROG
