config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions
sensitivity_w300_s75,shared_backbone,19193,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/shared_backbone/shared_backbone_individual_19193.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/shared_backbone/shared_backbone_individual_19193_windows.csv,76,300,50
sensitivity_w300_s75,shared_backbone,19209,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/shared_backbone/shared_backbone_individual_19209.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/shared_backbone/shared_backbone_individual_19209_windows.csv,115,300,50
sensitivity_w300_s75,cm_extension,18489,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18489.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18489_windows.csv,88,300,50
sensitivity_w300_s75,cm_extension,18499,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18499.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18499_windows.csv,178,300,50
sensitivity_w300_s75,cm_extension,18505,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18505.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18505_windows.csv,96,300,50
sensitivity_w300_s75,cm_extension,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18508_windows.csv,120,300,50
sensitivity_w300_s75,cm_extension,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18511_windows.csv,158,300,50
sensitivity_w300_s75,cm_extension,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18517_windows.csv,124,300,50
sensitivity_w300_s75,cm_extension,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18520_windows.csv,109,300,50
sensitivity_w300_s75,cm_extension,18855,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18855.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18855_windows.csv,60,300,50
sensitivity_w300_s75,cm_extension,18858,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18858.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18858_windows.csv,159,300,50
sensitivity_w300_s75,cm_extension,18870,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18870.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/sensitivity_w300_s75/cm_extension/cm_extension_individual_18870_windows.csv,151,300,50
