scope,individual,transition_id,destination_state,frozen_destination_landmark,n_windows,parameter_min,parameter_max,gdis_min,gdis_mean,gdis_max,critical_value_source,all_primary_outputs_finite,gdis_bounded_0_1,gdis_peak_window_index,gdis_peak_parameter,gdis_peak_value,gdis_peak_median_day,gdis_peak_dominant_state,sustained_peak_window_index,sustained_peak_parameter,sustained_peak_value,sustained_peak_median_day,sustained_peak_dominant_state,transition_instability_peak_window_index,transition_instability_peak_parameter,transition_instability_peak_value,transition_instability_peak_median_day,transition_instability_peak_dominant_state,transition_energy_peak_window_index,transition_energy_peak_parameter,transition_energy_peak_value,transition_energy_peak_median_day,transition_energy_peak_dominant_state,landmark_nearest_window_index,landmark_nearest_window_parameter,landmark_nearest_parameter_error,landmark_window_median_day,landmark_window_dominant_state,gdis_at_landmark_window,potential_at_landmark_window,sustained_instability_at_landmark_window,transition_instability_at_landmark_window,transition_energy_at_landmark_window,transition_base_at_landmark_window,core_at_landmark_window,gdis_peak_minus_landmark,gdis_absolute_peak_landmark_error,sustained_peak_minus_landmark,sustained_absolute_peak_landmark_error,transition_instability_peak_minus_landmark,transition_instability_absolute_peak_landmark_error,transition_energy_peak_minus_landmark,transition_energy_absolute_peak_landmark_error
cf_extension,18489,T3_CF,CF,0.355965305,62,0.0093122065,0.39761314999999997,0.00477317730799983,0.669679370132493,0.8380811182851522,data_driven_transition_energy_peak,True,True,50,0.32632022,0.8380811182851522,3.0,CMES,52,0.33368955499999997,0.8586695347180471,7.0,CF,26,0.04513121,0.1718643405070575,0.0,IPSC,26,0.04513121,0.9659544076872085,0.0,IPSC,56,0.35723773000000003,0.0012724250000000215,11.0,CF,0.4993401984656185,0.6446258758118251,0.4751411322239746,0.0,0.10253980937004861,0.0,8.6556959164142e-06,-0.029645085000000015,0.029645085000000015,-0.02227575000000004,0.02227575000000004,-0.31083409500000003,0.31083409500000003,-0.31083409500000003,0.31083409500000003
cf_extension,18508,T3_CF,CF,0.41162326,121,0.008214258,0.44899516,0.0,0.6986661566818194,0.8409791286115205,data_driven_transition_energy_peak,True,True,76,0.33628634999999996,0.8409791286115205,3.0,CMES,57,0.30611252499999997,0.8197313836163803,3.0,CMES,75,0.33531351499999995,0.15970398454807774,3.0,CMES,76,0.33628634999999996,0.945060635030244,3.0,CMES,100,0.41232045,0.0006971900000000142,11.0,CF,0.7919092702830157,1.5590549711029023,0.7884027672249243,0.005984314401606961,0.17706656617469693,0.033246191120038675,0.717149871060162,-0.07533691000000003,0.07533691000000003,-0.10551073500000002,0.10551073500000002,-0.07630974500000004,0.07630974500000004,-0.07533691000000003,0.07533691000000003
cf_extension,18511,T3_CF,CF,0.3733011149999999,126,0.008324772000000001,0.430135935,0.02927664969697992,0.6988381121829437,0.8160510720996141,data_driven_transition_energy_peak,True,True,121,0.404366925,0.8160510720996141,7.0,CF,121,0.404366925,0.815648228326965,7.0,CF,24,0.0281686935,0.1690571354184122,1.0,MES,24,0.0281686935,0.9470340345677113,1.0,MES,116,0.37416211,0.0008609950000000866,7.0,CF,0.801306114641887,1.614334504987038,0.8009769247583963,2.3675362734756052e-20,0.056727353621502,1.3152979297086696e-19,0.7972346968380302,0.031065810000000083,0.031065810000000083,0.031065810000000083,0.031065810000000083,-0.3451324214999999,0.3451324214999999,-0.3451324214999999,0.3451324214999999
cf_extension,18517,T3_CF,CF,0.321171025,69,0.0107778705,0.349083435,0.10208639502037224,0.6668809763005357,0.8173556931678402,data_driven_transition_energy_peak,True,True,62,0.328531825,0.8173556931678402,5.0,PROG,63,0.330825375,0.8183215047320006,5.0,PROG,23,0.032046941499999995,0.1638481784840333,1.0,MES,23,0.032046941499999995,0.9872853721684178,1.0,MES,59,0.32110389,6.713499999999595e-05,5.0,PROG,0.7949652304956738,1.5784248063856963,0.7937001954661893,0.0,0.36669531350855905,0.0,0.7421673123901597,0.007360800000000001,0.007360800000000001,0.009654349999999978,0.009654349999999978,-0.2891240835,0.2891240835,-0.2891240835,0.2891240835
cf_extension,18520,T3_CF,CF,0.39014167,102,0.013443681499999999,0.43961087,0.10410226049300467,0.7213621941152532,0.8844575088581911,data_driven_transition_energy_peak,True,True,98,0.42513638,0.8844575088581911,11.0,CF,98,0.42513638,0.8892269986776341,11.0,CF,0,0.013443681499999999,0.18266596979827418,1.0,MES,0,0.013443681499999999,1.0,1.0,MES,89,0.390737695,0.000596025,11.0,CF,0.7586855690208046,1.510100225592066,0.7791121617654541,1.7520777872209216e-23,0.2673040115583676,9.733765484560676e-23,0.6739673860829106,0.034994709999999984,0.034994709999999984,0.034994709999999984,0.034994709999999984,-0.3766979885,0.3766979885,-0.3766979885,0.3766979885
cf_extension,18855,T3_CF,CF,0.4039907,83,0.01420406175,0.447423815,0.1750470951523726,0.6769751273361914,0.8289838066877808,data_driven_transition_energy_peak,True,True,82,0.447423815,0.8289838066877808,11.0,CF,39,0.326978865,0.8156006985692883,7.0,CF,82,0.447423815,0.18142557928052308,11.0,CF,82,0.447423815,1.0,11.0,CF,62,0.40466697500000004,0.0006762750000000595,11.0,CF,0.7411764634931435,1.3659122467681923,0.7369414572153083,0.030533571336288378,0.33436680042621403,0.16963095186826876,0.5464267204295951,0.04343311500000002,0.04343311500000002,-0.07701183499999997,0.07701183499999997,0.04343311500000002,0.04343311500000002,0.04343311500000002,0.04343311500000002
cf_extension,18907,T3_CF,CF,0.3817951,79,0.014147929,0.430679515,0.08928148620226681,0.6887055164043987,0.8553320577645397,data_driven_transition_energy_peak,True,True,52,0.33790776,0.8553320577645397,5.0,CF,54,0.34377753499999997,0.8378233970527402,7.0,CF,50,0.33399455,0.17964726572947387,3.0,CMES,49,0.33253816,0.9958267635205498,3.0,CMES,64,0.380275605,0.0015194949999999818,11.0,CF,0.7769225919245522,1.3717391358388,0.7396237826033575,0.026111431981904687,0.33103527285237455,0.1450635110105816,0.4880426615925575,-0.04388734,0.04388734,-0.03801756500000003,0.03801756500000003,-0.04780055,0.04780055,-0.04925693999999997,0.04925693999999997
cf_extension,18912,T3_CF,CF,0.36847245,108,0.0080636965,0.39589111499999996,0.0,0.6948813936180436,0.8382183570563254,data_driven_transition_energy_peak,True,True,92,0.33438474,0.8382183570563254,3.0,CMES,94,0.33819436999999997,0.8415612446500652,7.0,PROG,36,0.043407945,0.1732492890474289,0.0,IPSC,36,0.043407945,1.0,0.0,IPSC,102,0.36759627500000003,0.000876174999999979,7.0,PROG,0.7483308365111012,1.7148026714702513,0.8200007638074779,0.0,0.0909417292765153,0.0,0.6146939517520641,-0.03408770999999999,0.03408770999999999,-0.03027808000000004,0.03027808000000004,-0.325064505,0.325064505,-0.325064505,0.325064505
cf_extension,19093,T3_CF,CF,0.4099755,157,0.012019524,0.446863455,0.10609002403630641,0.6666776425628453,0.8429351651686445,data_driven_transition_energy_peak,True,True,125,0.33663360499999995,0.8429351651686445,5.0,PROG,126,0.33859525999999995,0.8607533111867289,5.0,PROG,53,0.052113965,0.14776620222627856,1.0,MES,53,0.052113965,0.9277680205533592,1.0,MES,143,0.410378365,0.00040286500000003,7.0,CF,0.7261491631587074,1.2902383051966084,0.7247948075537265,1.0548955534870962e-20,0.07994090453234586,5.86053085270609e-20,0.5060890799003187,-0.07334189500000005,0.07334189500000005,-0.07138024000000004,0.07138024000000004,-0.357861535,0.357861535,-0.357861535,0.357861535
cf_extension,19127,T3_CF,CF,0.40934077,98,0.009876764,0.450146245,0.0,0.7139615434899397,0.8402831363852781,data_driven_transition_energy_peak,True,True,55,0.33329255,0.8402831363852781,3.0,CMES,55,0.33329255,0.8150054654287496,3.0,CMES,56,0.335034185,0.16364942595368923,3.0,CMES,56,0.335034185,1.0,3.0,CMES,79,0.40802077000000003,0.0013199999999999878,11.0,CF,0.7120181046277748,1.2530515371743316,0.7119954643009792,0.008272487162532597,0.24931577291749496,0.04595826201406998,0.39593977875270997,-0.07604822,0.07604822,-0.07604822,0.07604822,-0.07430658500000004,0.07430658500000004,-0.07430658500000004,0.07430658500000004
