scope,individual,transition_id,transition_weight,parameter,gdis,potential
cf_extension,18489,T3_CF,0.0,0.0093122065,0.0,0.00025075669104576644
cf_extension,18489,T3_CF,0.0,0.011328037999999999,0.20914970674132577,0.22791041895352138
cf_extension,18489,T3_CF,0.0,0.01302681,0.3453987974588517,0.4170673348243687
cf_extension,18489,T3_CF,0.0,0.0143263495,0.4206296082148812,0.5492290070713318
cf_extension,18489,T3_CF,0.0,0.015519297,0.4503838151690275,0.6147926770825454
cf_extension,18489,T3_CF,0.0,0.0168322035,0.4514282239514792,0.5989699184838604
cf_extension,18489,T3_CF,0.0,0.017914324000000002,0.4391547067149682,0.5618286321371813
cf_extension,18489,T3_CF,0.0,0.018963782,0.43005805144848186,0.5440234273293143
cf_extension,18489,T3_CF,0.0,0.020058662499999998,0.43858159687038356,0.5593626535617174
cf_extension,18489,T3_CF,0.0,0.021111653,0.469266846043681,0.6157729121117242
cf_extension,18489,T3_CF,0.0,0.022325962,0.5130445022692081,0.7141481616548832
cf_extension,18489,T3_CF,0.0,0.023459155500000002,0.5584289144316942,0.843351675901084
cf_extension,18489,T3_CF,0.0,0.0243989695,0.5958057586742311,0.9355622870608452
cf_extension,18489,T3_CF,0.0,0.025694407,0.6192246027288683,0.9735597715246218
cf_extension,18489,T3_CF,0.0,0.027024850500000003,0.6286187417753277,0.9851853543303014
cf_extension,18489,T3_CF,0.0,0.0284677495,0.6289600757174639,0.983955730913342
cf_extension,18489,T3_CF,0.0,0.030000875,0.6284558786777947,0.9823971089450343
cf_extension,18489,T3_CF,0.0,0.031603558000000004,0.6306051286898267,0.9918944698530004
cf_extension,18489,T3_CF,0.0,0.032827143,0.6356344894909913,1.0081470600519042
cf_extension,18489,T3_CF,0.0,0.034369566500000004,0.6428118200938933,1.0312494099060996
cf_extension,18489,T3_CF,0.0,0.0358856165,0.6509801011743344,1.055223685441447
cf_extension,18489,T3_CF,0.0,0.037017264,0.6593043012619728,1.0805681594755978
cf_extension,18489,T3_CF,0.0,0.0385723355,0.668372494052546,1.1036472245312299
cf_extension,18489,T3_CF,0.0,0.040326014,0.6791760430760108,1.1328368100085975
cf_extension,18489,T3_CF,0.0,0.0418761535,0.6924281091162803,1.1724090742144933
cf_extension,18489,T3_CF,0.0,0.0432921105,0.7081015947959495,1.2272265013068946
cf_extension,18489,T3_CF,0.0,0.04513121,0.7251535966140757,1.2921533915035595
cf_extension,18489,T3_CF,0.0,0.046949789,0.7409299432279586,1.3539068149554976
cf_extension,18489,T3_CF,0.0,0.0497425255,0.7529603565118793,1.406668017823006
cf_extension,18489,T3_CF,0.0,0.0530543255,0.7597844669156569,1.4359837336683452
cf_extension,18489,T3_CF,0.0,0.060854992,0.7615903642491644,1.4366362948043563
cf_extension,18489,T3_CF,0.0,0.07096665299999999,0.7599028588329791,1.4236415576910446
cf_extension,18489,T3_CF,0.0,0.08510867999999999,0.7565459270542765,1.4087804800177588
cf_extension,18489,T3_CF,0.0,0.11337672,0.7537683149349369,1.3985279243234807
cf_extension,18489,T3_CF,0.0,0.167147585,0.7530145082393085,1.3968475217897192
cf_extension,18489,T3_CF,0.0,0.20183552,0.7547277949499815,1.403091322117911
cf_extension,18489,T3_CF,0.0,0.22430557,0.758763310497365,1.4207897684045088
cf_extension,18489,T3_CF,0.0,0.240892615,0.7649530280027179,1.4464684980266218
cf_extension,18489,T3_CF,0.0,0.25259418499999997,0.7725334554065563,1.4800483266603617
cf_extension,18489,T3_CF,0.0,0.26397637500000004,0.780557993840504,1.5162012383482093
cf_extension,18489,T3_CF,0.0,0.2719585,0.7880108049452392,1.5552603969314658
cf_extension,18489,T3_CF,0.0,0.28112985,0.7940678490697634,1.5836655076775317
cf_extension,18489,T3_CF,0.0,0.28750427,0.7982069919151072,1.6033224552462453
cf_extension,18489,T3_CF,0.0,0.29457911999999997,0.800707695418019,1.6153362440393098
cf_extension,18489,T3_CF,0.0,0.29996205,0.8022315718198456,1.6196775271406
cf_extension,18489,T3_CF,0.0,0.30501105,0.804020533899213,1.6246846790168545
cf_extension,18489,T3_CF,0.0,0.31007466,0.8066672720618913,1.6378088414266623
cf_extension,18489,T3_CF,0.0,0.31486061,0.8100492030179107,1.6574654496711099
cf_extension,18489,T3_CF,0.0,0.31857947,0.8093257577259535,1.6820101067770412
cf_extension,18489,T3_CF,0.0,0.32265318,0.8249605638155514,1.6995814021745688
cf_extension,18489,T3_CF,0.0,0.32632022,0.8380811182851522,1.7013574131227427
cf_extension,18489,T3_CF,0.0,0.32973573,0.829026227464087,1.6913163587296882
cf_extension,18489,T3_CF,0.0,0.33368955499999997,0.788429851292411,1.9566544054334862
cf_extension,18489,T3_CF,0.0,0.33869167,0.7182287340609533,1.352742988939938
cf_extension,18489,T3_CF,0.0,0.3436947,0.6275665676216673,0.9462693735872233
cf_extension,18489,T3_CF,0.0,0.35093111,0.5453092265809858,0.7313303643438587
cf_extension,18489,T3_CF,0.0,0.35723773000000003,0.4993401984656185,0.6446258758118251
cf_extension,18489,T3_CF,0.0,0.363584295,0.5238157567288788,0.6669732215345958
cf_extension,18489,T3_CF,0.0,0.36982890999999996,0.5890231998939691,0.8770995065075176
cf_extension,18489,T3_CF,0.0,0.377403975,0.6602891733958958,1.142689677730057
cf_extension,18489,T3_CF,0.0,0.386348755,0.7157218402906751,1.340048744674582
