config,scope,individual,npz_path,window_metadata_path,n_windows,window_size,n_dimensions,transition_id,destination_state,destination_state_median_pseudotime,referenced_files_exist
primary_w400_s100,cm_extension,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18508_windows.csv,89,400,50,T3_CM,CM,0.6593754,True
primary_w400_s100,cm_extension,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18511_windows.csv,118,400,50,T3_CM,CM,0.42686644,True
primary_w400_s100,cm_extension,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18517_windows.csv,92,400,50,T3_CM,CM,0.46599331,True
primary_w400_s100,cm_extension,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18520_windows.csv,81,400,50,T3_CM,CM,0.43657294,True
primary_w400_s100,cm_extension,18855,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18855.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18855_windows.csv,44,400,50,T3_CM,CM,0.40134957,True
primary_w400_s100,cm_extension,18858,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18858.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18858_windows.csv,118,400,50,T3_CM,CM,0.49036673,True
primary_w400_s100,cm_extension,18870,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18870.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18870_windows.csv,113,400,50,T3_CM,CM,0.35724792,True
primary_w400_s100,cm_extension,18907,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18907.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18907_windows.csv,54,400,50,T3_CM,CM,0.40318394,True
primary_w400_s100,cm_extension,18912,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18912.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_18912_windows.csv,128,400,50,T3_CM,CM,0.5144707,True
primary_w400_s100,cm_extension,19093,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_19093.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_19093_windows.csv,151,400,50,T3_CM,CM,0.6336237849999999,True
primary_w400_s100,cm_extension,19193,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_19193.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_19193_windows.csv,65,400,50,T3_CM,CM,0.374162195,True
primary_w400_s100,cm_extension,19209,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_19209.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/cm_extension/cm_extension_individual_19209_windows.csv,94,400,50,T3_CM,CM,0.3930151149999999,True
primary_w400_s100,shared_backbone,18489,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18489.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18489_windows.csv,47,400,50,T2,CMES,0.28783527,True
primary_w400_s100,shared_backbone,18499,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18499.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18499_windows.csv,117,400,50,T2,CMES,0.23174533,True
primary_w400_s100,shared_backbone,18505,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18505.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18505_windows.csv,58,400,50,T2,CMES,0.2689006,True
primary_w400_s100,shared_backbone,18508,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18508.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18508_windows.csv,75,400,50,T2,CMES,0.325505585,True
primary_w400_s100,shared_backbone,18511,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18511.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18511_windows.csv,104,400,50,T2,CMES,0.26849953,True
primary_w400_s100,shared_backbone,18517,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18517.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18517_windows.csv,66,400,50,T2,CMES,0.27856214,True
primary_w400_s100,shared_backbone,18520,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18520.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18520_windows.csv,73,400,50,T2,CMES,0.29993442,True
primary_w400_s100,shared_backbone,18855,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18855.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18855_windows.csv,37,400,50,T2,CMES,0.3059474,True
primary_w400_s100,shared_backbone,18858,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18858.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18858_windows.csv,103,400,50,T2,CMES,0.27102716,True
primary_w400_s100,shared_backbone,18870,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18870.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18870_windows.csv,108,400,50,T2,CMES,0.25883543,True
primary_w400_s100,shared_backbone,18907,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18907.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18907_windows.csv,47,400,50,T2,CMES,0.30431904,True
primary_w400_s100,shared_backbone,18912,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18912.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_18912_windows.csv,100,400,50,T2,CMES,0.31262648,True
primary_w400_s100,shared_backbone,19093,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19093.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19093_windows.csv,126,400,50,T2,CMES,0.31081943,True
primary_w400_s100,shared_backbone,19108,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19108.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19108_windows.csv,32,400,50,T2,CMES,0.293644,True
primary_w400_s100,shared_backbone,19127,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19127.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19127_windows.csv,58,400,50,T2,CMES,0.30796184,True
primary_w400_s100,shared_backbone,19159,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19159.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19159_windows.csv,56,400,50,T2,CMES,0.33477678,True
primary_w400_s100,shared_backbone,19190,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19190.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19190_windows.csv,84,400,50,T2,CMES,0.31270877,True
primary_w400_s100,shared_backbone,19193,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19193.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19193_windows.csv,56,400,50,T2,CMES,0.32815273,True
primary_w400_s100,shared_backbone,19209,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19209.npz,<PROJECT_ROOT>/results/p17_external_GSE175634_trajectory_window_assembly/data/primary_w400_s100/shared_backbone/shared_backbone_individual_19209_windows.csv,85,400,50,T2,CMES,0.2835148,True
