config,scope,individual,transition_id,destination_state,destination_state_median_pseudotime,parameter_min,parameter_max,landmark_minus_parameter_max,landmark_inside_parameter_range,n_windows,final_primary_gdis_eligible
primary_w400_s100,shared_backbone,18489,T2,CMES,0.28783527,0.0093122065,0.32634978,-0.03851451,True,47,True
primary_w400_s100,shared_backbone,18499,T2,CMES,0.23174533,0.0105001885,0.345389095,-0.11364376499999998,True,117,True
primary_w400_s100,shared_backbone,18505,T2,CMES,0.2689006,0.0123187974999999,0.3372085999999999,-0.06830799999999992,True,58,True
primary_w400_s100,shared_backbone,18508,T2,CMES,0.325505585,0.008214258,0.3386987,-0.013193115000000033,True,75,True
primary_w400_s100,shared_backbone,18511,T2,CMES,0.26849953,0.008324772,0.34631432,-0.07781479000000002,True,104,True
primary_w400_s100,shared_backbone,18517,T2,CMES,0.27856214,0.0107778705,0.3413911,-0.06282895999999999,True,66,True
primary_w400_s100,shared_backbone,18520,T2,CMES,0.29993442,0.0134436814999999,0.340759455,-0.04082503500000001,True,73,True
primary_w400_s100,shared_backbone,18855,T2,CMES,0.3059474,0.01420406175,0.33273144,-0.02678404000000001,True,37,True
primary_w400_s100,shared_backbone,18858,T2,CMES,0.27102716,0.008778636,0.34914847,-0.07812131,True,103,True
primary_w400_s100,shared_backbone,18870,T2,CMES,0.25883543,0.0072889432,0.35179528,-0.09295985000000001,True,108,True
primary_w400_s100,shared_backbone,18907,T2,CMES,0.30431904,0.014147929,0.337738305,-0.03341926500000003,True,47,True
primary_w400_s100,shared_backbone,18912,T2,CMES,0.31262648,0.0080636965,0.3727237,-0.06009722000000001,True,100,True
primary_w400_s100,shared_backbone,19093,T2,CMES,0.31081943,0.012019524,0.346556335,-0.035736904999999985,True,126,True
primary_w400_s100,shared_backbone,19108,T2,CMES,0.293644,0.013453955,0.29461435,-0.0009703500000000087,True,32,True
primary_w400_s100,shared_backbone,19127,T2,CMES,0.30796184,0.009876764,0.3644500699999999,-0.05648822999999992,True,58,True
primary_w400_s100,shared_backbone,19159,T2,CMES,0.33477678,0.0118863929999999,0.401277645,-0.06650086500000002,True,56,True
primary_w400_s100,shared_backbone,19190,T2,CMES,0.31270877,0.0089863594999999,0.364080545,-0.05137177499999995,True,84,True
primary_w400_s100,shared_backbone,19193,T2,CMES,0.32815273,0.009603269,0.35780535,-0.02965262000000002,True,56,True
primary_w400_s100,shared_backbone,19209,T2,CMES,0.2835148,0.010101056,0.365858085,-0.08234328499999999,True,85,True
