branch,lineage,differentiation,transition_weight,parameter,gdis,potential
0,SC-EC,1,0.0,0.0240825688073394,0.6382297106107676,0.9754185530899554
0,SC-EC,1,0.0,0.03583715596330275,0.6121709492505635,0.999042334983725
0,SC-EC,1,0.0,0.04705930537352555,0.5658654457534318,0.8763642720634844
0,SC-EC,1,0.0,0.057298492791612,0.5147662302081811,0.713138085911091
0,SC-EC,1,0.0,0.06950360419397114,0.4743263327036201,0.5824180146341477
0,SC-EC,1,0.0,0.082036369593709,0.46765671422633615,0.6019700605002886
0,SC-EC,1,0.0,0.10087647444298814,0.5229438424825017,0.702406227002468
0,SC-EC,1,0.0,0.120740498034076,0.6094176283614997,0.9005881491918112
0,SC-EC,1,0.0,0.13765563564875483,0.7019441345703702,1.2446957438706612
0,SC-EC,1,0.0,0.15510321100917424,0.7751222798044259,1.8367285466688388
0,SC-EC,1,0.0,0.17132208387942333,0.8212786748395995,1.679980777411955
0,SC-EC,1,0.0,0.19237385321100914,0.8383133766703754,1.7184731506310507
0,SC-EC,1,0.0,0.2093709043250327,0.8332433364933209,1.7288089256361165
0,SC-EC,1,0.0,0.2279652686762778,0.8168480750179463,1.7013140176466655
0,SC-EC,1,0.0,0.24569954128440363,0.8055050222982434,1.6594048041437193
0,SC-EC,1,0.0,0.26413007863695936,0.7792487291033676,1.5690602568205894
0,SC-EC,1,0.0,0.2838302752293578,0.7451692820280552,1.3817671613682938
0,SC-EC,1,0.0,0.30520969855832236,0.7098360129012586,1.2184938060429735
0,SC-EC,1,0.0,0.32527850589777185,0.6813603326685395,1.1208067429431015
0,SC-EC,1,0.0,0.3447329619921362,0.6702355776937989,1.0904729332516148
0,SC-EC,1,0.0,0.366603866317169,0.6824182520372134,1.1234048609204448
0,SC-EC,1,0.0,0.38544397116644824,0.7098052679332797,1.2207235305156199
0,SC-EC,1,0.0,0.40956749672346,0.7425773925277948,1.3826829989555172
0,SC-EC,1,0.0,0.43332241153342066,0.7725167335555707,1.5385798612506685
0,SC-EC,1,0.0,0.4536369593709043,0.7939330088521575,1.5922410933121738
0,SC-EC,1,0.0,0.47620412844036697,0.804357855155894,1.6186057780063436
0,SC-EC,1,0.0,0.49684633027522934,0.805561857340021,1.630484485557359
0,SC-EC,1,0.0,0.5262925969447709,0.8033604382756285,1.6273756368221013
0,SC-EC,1,0.0,0.5550822561692127,0.8022042692639639,1.6160383514176913
0,SC-EC,1,0.0,0.5893801410105758,0.8017409056180065,1.6107832927137817
0,SC-EC,1,0.0,0.6174720916568743,0.8024937918580356,1.6177347188881464
0,SC-EC,1,0.0,0.6449764982373678,0.804601621508467,1.6321054094470784
