branch,lineage,differentiation,n_windows,gdis_min,gdis_median,gdis_mean,gdis_max,gdis_peak_window_index,gdis_peak_parameter,gdis_peak_median_day,gdis_peak_dominant_state,gdis_peak_nearest_landmark,gdis_peak_landmark_distance,sustained_peak_parameter,transition_energy_peak_parameter,transition_instability_peak_parameter,resolved_critical_value,critical_value_source,critical_nearest_landmark,critical_landmark_distance,transition_weight,spearman_gdis_vs_pseudotime
0,SC-EC,1,41,0.5139527210159095,0.802203876741337,0.746363461640796,0.8527909742804045,11,0.19237385321100914,1.0,neurog3_early,neurog3_early,0.020969855832241147,0.15510321100917424,0.120740498034076,0.13765563564875483,0.120740498034076,data_driven_transition_energy_peak,neurog3_early,0.050663499344692,0.18,0.567595818815331
0,SC-EC,2,47,0.2697611051506386,0.7895859674258359,0.7411674236049584,0.8639239267431817,7,0.17263269986893837,3.0,neurog3_early,neurog3_early,0.002334534731323723,0.15624999999999994,0.14052260812581913,0.14052260812581913,0.14052260812581913,data_driven_transition_energy_peak,neurog3_early,0.03444462647444296,0.18,0.321577243293247
1,SC-beta,1,36,0.38713225031008347,0.7899883233342222,0.7356192113289074,0.8301544187008298,11,0.1896762121705174,1.0,neurog3_early,neurog3_early,0.01915880247315338,0.2437764399609502,0.1542059876342336,0.13809794988610474,0.1542059876342336,data_driven_transition_energy_peak,neurog3_early,0.01631142206313041,0.18,0.41441441441441446
1,SC-beta,2,43,0.25987780588817316,0.772565246824197,0.7213293599132108,0.8636124890430529,7,0.1706394402863651,2.5,neurog3_early,neurog3_early,0.0022372274650178936,0.15493817116823944,0.13846404165310766,0.13846404165310766,0.13846404165310766,data_driven_transition_energy_peak,neurog3_early,0.034412626098275334,0.18,0.18000604047115676
