branch,lineage,metric,pearson,spearman,mae,shared_pseudotime_min,shared_pseudotime_max
0,SC-EC,gdis,0.9277676852652875,0.8499377484437112,0.031266856205495144,0.0573804062909567,0.921783196239718
0,SC-EC,sustained_instability,0.9451987806027542,0.8654661366534165,0.028677499402518326,0.0573804062909567,0.921783196239718
0,SC-EC,transition_instability,0.9387219265643832,0.8738212750270499,0.005773930852728426,0.0573804062909567,0.921783196239718
0,SC-EC,transition_energy,0.8553553811752175,0.7505287632190805,0.11388927110681085,0.0573804062909567,0.921783196239718
1,SC-beta,gdis,0.9122863177189372,0.8533908347708694,0.047385236544742575,0.0610966482264887,0.8878323108384458
1,SC-beta,sustained_instability,0.9063742983088164,0.7070201755043877,0.04642067301981623,0.0610966482264887,0.8878323108384458
1,SC-beta,transition_instability,0.9494498312600644,0.9265124698635594,0.005187271630777444,0.0610966482264887,0.8878323108384458
1,SC-beta,transition_energy,0.6056117108664825,0.4722913072826822,0.1409374653954009,0.0610966482264887,0.8878323108384458
