branch,lineage,differentiation,transition_weight,max_gdis,mean_gdis,median_gdis
0,SC-EC,1,0.0,0.8383133766703754,0.7365906691388177,0.8017409056180065
0,SC-EC,1,0.18,0.8527909742804045,0.746363461640796,0.802203876741337
0,SC-EC,1,0.25,0.8580553458330489,0.7499037041436312,0.8022037240962661
0,SC-EC,1,0.5,0.8753320719655433,0.7614808441187749,0.8024937918580356
0,SC-EC,1,0.75,0.8926774420602872,0.7715839422607584,0.8024937918580356
0,SC-EC,1,1.0,0.9093105277169029,0.7804325472131681,0.804373158076061
0,SC-EC,2,0.0,0.8430233206397071,0.7334137388291281,0.789586042801379
0,SC-EC,2,0.18,0.8639239267431817,0.7411674236049585,0.7895859674258359
0,SC-EC,2,0.25,0.8714899574056623,0.7439716983957724,0.7895859381142554
0,SC-EC,2,0.5,0.8951852063048132,0.7531264101633709,0.7951593176470784
0,SC-EC,2,0.75,0.9144468804725734,0.7610980228386193,0.7963333868711551
0,SC-EC,2,1.0,0.9301194251745144,0.768069334801242,0.7963333868711551
1,SC-beta,1,0.0,0.8190105352566062,0.7274045940319287,0.7860932681909658
1,SC-beta,1,0.18,0.8301544187008298,0.7356192113289075,0.7899883233342222
1,SC-beta,1,0.25,0.8360043185362953,0.7386197658875019,0.7907723955582813
1,SC-beta,1,0.5,0.8581476646342037,0.748537007723263,0.7966402248298043
1,SC-beta,1,0.75,0.8799200633508197,0.7573436329821389,0.800727392057278
1,SC-beta,1,1.0,0.8982542073721171,0.7651976300880375,0.8042042317656404
1,SC-beta,2,0.0,0.8422619534416055,0.7140389287596253,0.7725653446891713
1,SC-beta,2,0.18,0.8636124890430529,0.7213293599132108,0.772565246824197
1,SC-beta,2,0.25,0.871117952478011,0.7239791429873059,0.7725652087671564
1,SC-beta,2,0.5,0.894734999985887,0.7326824328779409,0.7792660486393603
1,SC-beta,2,0.75,0.9140710009636701,0.740333955142981,0.7792660486417029
1,SC-beta,2,1.0,0.9299074221390891,0.7470887814484968,0.7792660486440449
