individual,type,n_cells,n_with_pseudotime,pseudotime_fraction,pseudotime_min,pseudotime_q25,pseudotime_median,pseudotime_mean,pseudotime_q75,pseudotime_max
18855,CMES,295.0,295.0,1.0,0.11363389,0.27010484999999995,0.3059474,0.29087876159322035,0.32587982,0.3411529
18855,IPSC,877.0,877.0,1.0,0.0009447735,0.019611288,0.030864147,0.040292724990307865,0.04229879,0.42308947
18855,MES,2082.0,2082.0,1.0,0.004613642,0.026979303500000003,0.041213007499999996,0.049546959358021135,0.061139623500000004,0.3129432
18855,PROG,795.0,795.0,1.0,0.1069817,0.2775297,0.30925772,0.30168510465408804,0.33461050999999997,0.40900034
18858,CF,8.0,8.0,1.0,0.12082054,0.2376988575,0.25736395,0.26009849625,0.319906985,0.34719124
18858,CM,1543.0,1543.0,1.0,0.066293605,0.38485224,0.49036673,0.5149721662248866,0.6232403,0.9482786
18858,CMES,124.0,124.0,1.0,0.0874706,0.2321297725,0.27102716,0.2624724472580645,0.301130035,0.33232263
18858,IPSC,2142.0,2142.0,1.0,0.0,0.017759376,0.028164186,0.036556898489869274,0.04204080375,0.3299373
18858,MES,5754.0,5754.0,1.0,0.001199733,0.024242892000000002,0.038656299,0.050084723282603404,0.0626198675,0.35158354
18858,PROG,2629.0,2629.0,1.0,0.06204631,0.28546095,0.3146237,0.30674058122251807,0.3312997,0.5239825
18870,CF,66.0,66.0,1.0,0.032593094,0.31250131999999997,0.36417589,0.3439286303030303,0.389511135,0.4531767
18870,CM,495.0,495.0,1.0,0.104292855,0.32538649,0.35724792,0.3519639334646465,0.37713918,0.9035637
18870,CMES,155.0,155.0,1.0,0.08559698,0.22238776500000002,0.25883543,0.25319998400000004,0.293288985,0.33551362
18870,IPSC,3250.0,3250.0,1.0,0.00050973304,0.014773843750000001,0.024416789,0.03531312552610461,0.0413475845,0.31731957
18870,MES,2515.0,2515.0,1.0,0.0039077485,0.0403409065,0.06660028,0.07591139875594433,0.098664165,0.30948567
18870,PROG,5189.0,5189.0,1.0,0.060213614,0.23769924,0.27947646,0.2738359667174793,0.31732836,0.4176836
18907,CF,3223.0,3223.0,1.0,0.18854272,0.348840665,0.3817951,0.37573117754576485,0.40661061,0.5258463
18907,CM,751.0,751.0,1.0,0.10611511,0.35666988,0.40318394,0.47072949852197077,0.56503485,0.9194011
18907,CMES,1928.0,1928.0,1.0,0.08903616,0.26587977,0.30431904,0.2910496030290457,0.32608054000000003,0.36086404
18907,IPSC,1009.0,1009.0,1.0,0.0006359476,0.023234552,0.03573944,0.03631349233171457,0.043805014,0.22566089
18907,MES,1163.0,1163.0,1.0,0.0032891396,0.020308213999999998,0.031076798,0.04487258000799656,0.055242,0.2525054
18907,PROG,948.0,948.0,1.0,0.04301988,0.28526503000000003,0.313769875,0.30732030271097044,0.335245765,0.40247834
18912,CF,798.0,798.0,1.0,0.17758806,0.339415,0.36847245,0.36462059390977447,0.391814735,0.51308095
18912,CM,2821.0,2821.0,1.0,0.16366005,0.38833755,0.5144707,0.5502138884154555,0.70541054,0.99681723
18912,CMES,2185.0,2185.0,1.0,0.06035226,0.2851656,0.31262648,0.30135152564073225,0.32660306,0.348809
18912,IPSC,3593.0,3593.0,1.0,0.00046282916,0.017466487,0.026255557,0.03365726485929863,0.038004305,0.3572679
18912,MES,1568.0,1568.0,1.0,0.0025567643,0.02374341425,0.041372311999999994,0.06790744970274235,0.0841159635,0.33023477
18912,PROG,2956.0,2956.0,1.0,0.114118025,0.27427154249999997,0.31318590999999996,0.30616569882780786,0.34321597,0.43933147
19093,CF,3157.0,3157.0,1.0,0.19277804,0.3750767,0.4099755,0.400700710342097,0.43360272,0.54754925
19093,CM,2552.0,2552.0,1.0,0.21494845,0.46060903,0.6336237849999999,0.6117700042045455,0.7489908375000001,0.9657756
19093,CMES,1176.0,1176.0,1.0,0.042334694,0.2784652425,0.31081943,0.29811159694217687,0.32799989,0.3597873
19093,IPSC,1962.0,1962.0,1.0,0.0015587251,0.0238433485,0.0369758225,0.039450061610040776,0.0448899745,0.79676944
19093,MES,7798.0,7798.0,1.0,0.0037548046,0.036858662,0.0534829535,0.07004103999499872,0.07990900249999999,0.38410166
19093,PROG,1979.0,1979.0,1.0,0.1083016,0.304983915,0.32352218,0.31818040022233457,0.33488505999999996,0.460638
19108,CF,181.0,181.0,1.0,0.2610888,0.3452131,0.37690464,0.37505038022099446,0.40708923,0.4512864
19108,CM,166.0,166.0,1.0,0.16365546,0.334357565,0.37534056000000005,0.41875314259036145,0.480276095,0.86960185
19108,CMES,335.0,335.0,1.0,0.0717861,0.249752795,0.293644,0.2793806278776119,0.314527265,0.3431738
19108,IPSC,1386.0,1386.0,1.0,0.0030468856,0.017915388,0.0260334975,0.030583317545310244,0.03646227475,0.3885002
19108,MES,1693.0,1693.0,1.0,0.0032118624,0.034234732,0.050665893,0.05651369435493208,0.07090256,0.27873585
19108,PROG,180.0,180.0,1.0,0.06803764,0.2842107075,0.319511145,0.30432747944444444,0.33518541,0.454383
19127,CF,3944.0,3944.0,1.0,0.16442566,0.37147886,0.40934077,0.398940392142495,0.4339782875,0.4811506
19127,CM,34.0,34.0,1.0,0.22889806,0.33924997999999995,0.37223156,0.35593327794117646,0.3856798375,0.4197247
19127,CMES,1342.0,1342.0,1.0,0.050793562,0.274239635,0.30796184000000004,0.29638064020268257,0.32732561250000003,0.3809123
19127,IPSC,1903.0,1903.0,1.0,0.0011293992,0.017276209,0.027986776,0.03135519382264845,0.040184866,0.33103555
19127,MES,1796.0,1796.0,1.0,0.0015125956,0.02542473475,0.0392021715,0.05129115565228286,0.06323319999999999,0.3215316
19127,PROG,1142.0,1142.0,1.0,0.04197285,0.307988575,0.33992822,0.33132578555866904,0.363747495,0.43780386
19159,CF,6909.0,6909.0,1.0,0.22410567,0.4095534,0.43521515,0.42292138490664344,0.44669917,0.47986224
19159,CM,15.0,15.0,1.0,0.23660913,0.33514743,0.40037894,0.38007507399999996,0.40758671,0.5838284
19159,CMES,816.0,816.0,1.0,0.1511673,0.31674396250000003,0.33477678,0.3269152964705882,0.3434175275,0.39679465
19159,IPSC,2474.0,2474.0,1.0,0.0011828365,0.02621914475,0.038798816,0.03898851767154406,0.045219913,0.43288735
19159,MES,1442.0,1442.0,1.0,0.0035015459,0.01952756175,0.027495997,0.03657113762919556,0.045032879,0.24563506
19159,PROG,1212.0,1212.0,1.0,0.06277213,0.35305194,0.379604,0.3704644025247525,0.3967035625,0.4522439
19190,CF,8171.0,8171.0,1.0,0.1732589,0.38457957499999995,0.41572344,0.4055296516729899,0.43648377,0.4780094
19190,CM,35.0,35.0,1.0,0.18642685,0.35681018,0.3865971,0.41007069085714287,0.42294249,0.79675084
19190,CMES,1375.0,1375.0,1.0,0.05453188,0.276294985,0.31270877,0.29797187171272727,0.330390575,0.3742891
19190,IPSC,2959.0,2959.0,1.0,0.0011433823,0.016667193,0.02559383,0.0297098249070294,0.035795556500000006,0.35270083
19190,MES,2489.0,2489.0,1.0,0.0048798667,0.02962886,0.041906796,0.05003098937934914,0.062391322,0.3080748
19190,PROG,1921.0,1921.0,1.0,0.12652127,0.32373694,0.3421823,0.3359342790838105,0.3546256,0.4343639
19193,CF,3039.0,3039.0,1.0,0.15190065,0.358584405,0.39365986,0.38714468059888124,0.42370791500000005,0.4655817
19193,CM,956.0,956.0,1.0,0.22407657,0.3437713175,0.37416219500000003,0.43227579581589964,0.48121698,0.9209768
19193,CMES,1332.0,1332.0,1.0,0.07486955,0.30689312999999996,0.32815273,0.3154054998873874,0.334539735,0.37859136
19193,IPSC,2364.0,2364.0,1.0,0.0015703492,0.01677564525,0.027198701999999998,0.030622199998011846,0.0392310855,0.2982978
19193,MES,1125.0,1125.0,1.0,0.0026111368,0.022156617,0.033076502,0.04527261480657778,0.053208914,0.33267286
19193,PROG,1104.0,1104.0,1.0,0.10067506,0.307990755,0.333821485,0.3275368657246377,0.3512621575,0.42684844
19209,CF,151.0,151.0,1.0,0.1745581,0.320062655,0.3508313,0.34367311880794704,0.371558445,0.42937693
19209,CM,890.0,890.0,1.0,0.16795544,0.345508865,0.39301511499999997,0.459022495516854,0.554309105,0.9580142
19209,CMES,343.0,343.0,1.0,0.08382305,0.23844087,0.2835148,0.2726421709620991,0.31480518,0.36046025
19209,IPSC,1742.0,1742.0,1.0,0.0011244698,0.01646236725,0.027816156,0.035170567076176815,0.041083303,0.28797197
19209,MES,3106.0,3106.0,1.0,0.0026355747,0.038978329,0.069370658,0.0864003374074372,0.1179285575,0.3240313
19209,PROG,3701.0,3701.0,1.0,0.047831997,0.27449304,0.31164765,0.3023286758735477,0.33615512,0.49094278
