dimension,cumulative_explained_variance,distance_spearman_vs_50PC,mean_knn_overlap_vs_50PC,median_knn_overlap_vs_50PC,centroid_distance_spearman_vs_50PC,minimum_replicate_geometry_correlation,mean_replicate_geometry_correlation,minimum_generalization_rho,mean_generalization_rho,minimum_balanced_accuracy,mean_balanced_accuracy,pass_distance,pass_knn,pass_centroid,pass_replicate_geometry,pass_pseudotime_generalization,pass_terminal_fate,n_stability_checks_passed,all_stability_checks_pass
5,0.1739785196259617,0.9532006174309409,0.10297253991933256,0.1,0.9973196516596904,0.9976738660912016,0.9981083309877865,0.9499326397088154,0.9551053835514551,0.9748447685357213,0.978033513205237,True,False,True,True,True,True,5,False
10,0.2069754689000547,0.9714078039511225,0.23092251873952524,0.23333333333333334,0.9994821259081388,0.9969160941521086,0.9976783338500463,0.9517352237649741,0.9558566167637849,0.9759889332954468,0.979146511320344,True,False,True,True,True,True,5,False
20,0.2436504992656409,0.9853559266239493,0.4032009134942998,0.4,0.9999440136116908,0.9970604570472349,0.9976537340362741,0.9550687218993453,0.959006608795638,0.9742754183641387,0.9784490761000864,True,False,True,True,True,True,5,False
30,0.2689546449109912,0.9920927085333515,0.5440908337477208,0.5333333333333333,0.9999790051043841,0.9971106337088408,0.9976802754658527,0.9546258075179369,0.9593624078862785,0.9749288364827988,0.9793880059555374,True,False,True,True,True,True,5,False
50,0.311693178024143,1.0,1.0,1.0,1.0,0.9971008717676136,0.997681269523425,0.9556094272831012,0.9605183358380485,0.9687227304596667,0.974750222922758,True,True,True,True,True,True,6,True
