library.barcode,Assigned_cluster,Pseudotime_value,Pseudotime_branch,Differentiation,CellDay
stg5diff1_S5d0_b1.bcGGSA,prog_nkx61,0.054751057598438,1,1,0
stg5diff1_S5d0_b1.bcEVJP,prog_nkx61,0.0287992190042303,1,1,0
stg5diff1_S5d0_b1.bcGWIS,prog_nkx61,0.039131142206313,1,1,0
stg5diff1_S5d0_b1.bcGDLJ,prog_nkx61,0.0056947608200455,1,1,0
stg5diff1_S5d0_b1.bcIEGQ,prog_nkx61,0.0412844036697247,0,1,0
stg5diff1_S5d1_b1.bcCMDG,neurog3_early,0.1545720794012365,1,1,1
stg5diff1_S5d1_b1.bcGIJL,neurog3_late,0.4375819134993446,0,1,1
stg5diff1_S5d1_b1.bcEFKH,neurog3_mid,0.2251057598438008,1,1,1
stg5diff1_S5d1_b1.bcEYKG,neurog3_mid,0.1852883355176933,0,1,1
stg5diff1_S5d1_b1.bcCETM,neurog3_early,0.1888925294888597,0,1,1
stg5diff1_S5d1_b1.bcCHDV,neurog3_mid,0.3121723460026212,0,1,1
stg5diff1_S5d1_b1.bcAZZT,neurog3_early,0.2009437032216075,1,1,1
stg5diff1_S5d1_b1.bcCMUJ,neurog3_early,0.1987221494102228,0,1,1
stg5diff1_S5d1_b1.bcIEHX,prog_nkx61,0.0984600262123197,0,1,1
stg5diff1_S5d1_b1.bcHNAG,neurog3_mid,0.2095671981776765,1,1,1
stg5diff1_S5d1_b1.bcANOB,neurog3_early,0.2192824377457405,0,1,1
stg5diff1_S5d1_b1.bcCFYM,neurog3_early,0.1482634338138925,0,1,1
stg5diff1_S5d1_b1.bcGEJB,neurog3_early,0.141880898145135,1,1,1
stg5diff1_S5d1_b1.bcEPUS,prog_nkx61,0.1254095674967234,0,1,1
stg5diff1_S5d1_b1.bcHYBJ,neurog3_early,0.1492027334851936,1,1,1
stg5diff1_S5d1_b1.bcHSOC,neurog3_mid,0.2268955418158151,1,1,1
stg5diff1_S5d1_b1.bcAWPY,prog_nkx61,0.1018548649528148,1,1,1
stg5diff1_S5d1_b1.bcBAZR,prog_nkx61,0.0957568807339449,0,1,1
stg5diff1_S5d1_b1.bcGWSO,neurog3_early,0.1440774487471526,1,1,1
stg5diff1_S5d1_b1.bcBZMK,neurog3_early,0.1591579292267365,0,1,1
stg5diff1_S5d1_b1.bcHKZB,prog_nkx61,0.0969855832241153,0,1,1
stg5diff1_S5d1_b1.bcFQLC,prog_nkx61,0.0930686625447445,1,1,1
stg5diff1_S5d1_b1.bcBKBY,prog_nkx61,0.1237390172469899,1,1,1
stg5diff1_S5d1_b1.bcHKNL,neurog3_early,0.1673492791612057,0,1,1
stg5diff1_S5d1_b1.bcCZVU,prog_nkx61,0.0888382687927107,1,1,1
stg5diff1_S5d1_b1.bcEACG,neurog3_early,0.1422876667751383,1,1,1
stg5diff1_S5d1_b1.bcAGZS,neurog3_mid,0.1972827855515782,1,1,1
stg5diff1_S5d1_b1.bcBAPM,neurog3_early,0.1856492027334852,1,1,1
stg5diff1_S5d1_b1.bcEQJK,prog_nkx61,0.0794012365766352,1,1,1
stg5diff1_S5d1_b1.bcBIQR,neurog3_early,0.1965104849279161,0,1,1
stg5diff1_S5d1_b1.bcIHFC,neurog3_early,0.1619429882044561,0,1,1
stg5diff1_S5d1_b1.bcEBIN,neurog3_late,0.3760982753010088,1,1,1
stg5diff1_S5d1_b1.bcGXDV,neurog3_early,0.2050927432476407,1,1,1
stg5diff1_S5d1_b1.bcCHLY,prog_nkx61,0.0983781127129751,0,1,1
stg5diff1_S5d1_b1.bcEUTL,neurog3_early,0.166124308493329,1,1,1
stg5diff1_S5d1_b1.bcBWPO,neurog3_early,0.1918320859095346,1,1,1
stg5diff1_S5d1_b1.bcCADC,prog_nkx61,0.0964041653107712,1,1,1
stg5diff1_S5d1_b1.bcGMLL,prog_nkx61,0.0969736413927757,1,1,1
stg5diff1_S5d1_b1.bcEAEV,neurog3_early,0.1736902050113895,1,1,1
stg5diff1_S5d1_b1.bcIBWE,neurog3_mid,0.306378132118451,1,1,1
stg5diff1_S5d1_b1.bcAWWU,neurog3_early,0.1992352749755938,1,1,1
stg5diff1_S5d1_b1.bcHFKM,neurog3_mid,0.1910222804718217,0,1,1
stg5diff1_S5d1_b1.bcASRW,neurog3_early,0.1684141546526867,0,1,1
stg5diff1_S5d1_b1.bcIBFF,neurog3_early,0.2169069462647444,0,1,1
stg5diff1_S5d1_b1.bcIBAC,prog_nkx61,0.1000982961992136,0,1,1
stg5diff1_S5d1_b1.bcGXGX,prog_nkx61,0.14000976244712,1,1,1
stg5diff1_S5d1_b1.bcBIHM,neurog3_early,0.1570126911812561,1,1,1
stg5diff1_S5d1_b1.bcDYET,neurog3_early,0.2006880733944954,0,1,1
stg5diff1_S5d1_b1.bcBIQJ,neurog3_early,0.152131467621217,1,1,1
stg5diff1_S5d1_b1.bcFGND,neurog3_early,0.169151376146789,0,1,1
stg5diff1_S5d1_b1.bcAUSG,neurog3_early,0.1622193296452977,1,1,1
stg5diff1_S5d1_b1.bcFNVI,neurog3_early,0.1549788480312398,1,1,1
stg5diff1_S5d1_b1.bcGMYL,neurog3_mid,0.2268141880898145,1,1,1
stg5diff1_S5d1_b1.bcIGNE,prog_nkx61,0.0978047182175622,0,1,1
stg5diff1_S5d1_b1.bcGSKT,prog_nkx61,0.1318807339449541,0,1,1
stg5diff1_S5d1_b1.bcHHKJ,neurog3_early,0.1535958346892287,1,1,1
stg5diff1_S5d1_b1.bcHGAR,prog_nkx61,0.0946957370647575,1,1,1
stg5diff1_S5d1_b1.bcHCTX,neurog3_early,0.1584207077326343,0,1,1
stg5diff1_S5d1_b1.bcFMKP,prog_nkx61,0.1182883176049463,1,1,1
stg5diff1_S5d1_b1.bcFHJA,neurog3_early,0.1612876802096985,0,1,1
stg5diff1_S5d1_b1.bcDVUG,neurog3_early,0.2007699868938401,0,1,1
stg5diff1_S5d1_b1.bcEAOF,neurog3_early,0.1890660592255125,1,1,1
stg5diff1_S5d2_b1.bcBIGJ,neurog3_early,0.1883338756915066,1,1,2
stg5diff1_S5d2_b1.bcGFJQ,neurog3_mid,0.2578099576960624,1,1,2
stg5diff1_S5d2_b1.bcHGOP,neurog3_mid,0.2568337129840546,1,1,2
stg5diff1_S5d2_b1.bcEJOY,neurog3_mid,0.2313699967458509,1,1,2
stg5diff1_S5d2_b1.bcEBYR,neurog3_mid,0.2352555701179554,0,1,2
stg5diff1_S5d2_b1.bcGYHW,neurog3_mid,0.2329157175398633,1,1,2
stg5diff1_S5d2_b1.bcHKCL,neurog3_mid,0.2656454783748361,0,1,2
stg5diff1_S5d2_b1.bcBFYB,neurog3_early,0.1859746176374878,1,1,2
stg5diff1_S5d2_b1.bcDWMX,neurog3_mid,0.2523754914809961,0,1,2
stg5diff1_S5d2_b1.bcCHFV,neurog3_mid,0.2690858453473132,0,1,2
stg5diff1_S5d2_b1.bcCGKO,neurog3_mid,0.3443703221607549,1,1,2
stg5diff1_S5d2_b1.bcDQHS,neurog3_mid,0.2187909567496723,0,1,2
stg5diff1_S5d2_b1.bcAZRA,neurog3_early,0.14228374836173,0,1,2
stg5diff1_S5d2_b1.bcAJUK,neurog3_early,0.1996231979030144,0,1,2
stg5diff1_S5d2_b1.bcCRPL,neurog3_mid,0.239505369345916,1,1,2
stg5diff1_S5d2_b1.bcEVTE,neurog3_mid,0.2236238532110091,0,1,2
stg5diff1_S5d2_b1.bcGYOW,neurog3_late,0.3313401048492791,0,1,2
stg5diff1_S5d2_b1.bcFNDR,neurog3_early,0.0964941022280471,0,1,2
stg5diff1_S5d2_b1.bcGWZG,neurog3_mid,0.2872600065082981,1,1,2
stg5diff1_S5d2_b1.bcEKKH,neurog3_early,0.1698665798893589,1,1,2
stg5diff1_S5d2_b1.bcHQCW,neurog3_mid,0.3272860397006183,1,1,2
stg5diff1_S5d2_b1.bcDSHU,neurog3_mid,0.311503416856492,1,1,2
stg5diff1_S5d2_b1.bcEIGN,neurog3_early,0.1545707732634338,0,1,2
stg5diff1_S5d2_b1.bcDUZT,prog_nkx61,0.0792103538663171,0,1,2
stg5diff1_S5d2_b1.bcAHRL,neurog3_mid,0.3275720838794233,0,1,2
stg5diff1_S5d2_b1.bcABYS,neurog3_mid,0.2469692005242464,0,1,2
stg5diff1_S5d2_b1.bcEMUC,neurog3_mid,0.2842398427260812,0,1,2
stg5diff1_S5d2_b1.bcDXLD,neurog3_mid,0.2477064220183486,0,1,2
stg5diff1_S5d2_b1.bcBCBI,neurog3_mid,0.265153997378768,0,1,2
stg5diff1_S5d2_b1.bcFBGG,neurog3_mid,0.3229030144167759,0,1,2
stg5diff1_S5d2_b1.bcBLPJ,neurog3_mid,0.2916120576671035,0,1,2
stg5diff1_S5d2_b1.bcAXPT,neurog3_mid,0.2689554181581516,1,1,2
stg5diff1_S5d2_b1.bcHKTF,neurog3_mid,0.2948259030263586,1,1,2
stg5diff1_S5d2_b1.bcHAOL,neurog3_mid,0.2484436435124508,0,1,2
stg5diff1_S5d2_b1.bcEOPD,neurog3_mid,0.3034493979824276,1,1,2
stg5diff1_S5d2_b1.bcFCTU,neurog3_early,0.1760494630654084,1,1,2
stg5diff1_S5d2_b1.bcAWRN,neurog3_mid,0.2420273348519362,1,1,2
stg5diff1_S5d2_b1.bcAKLJ,neurog3_mid,0.3438008460787504,1,1,2
stg5diff1_S5d2_b1.bcATWM,neurog3_mid,0.3530751708428246,1,1,2
stg5diff1_S5d2_b1.bcHMNG,neurog3_early,0.1927424639580603,0,1,2
stg5diff1_S5d2_b1.bcHALK,neurog3_early,0.1960624796615685,1,1,2
stg5diff1_S5d2_b1.bcBITI,neurog3_mid,0.2224770642201834,0,1,2
stg5diff1_S5d2_b1.bcBNOC,neurog3_mid,0.271884152294175,1,1,2
stg5diff1_S5d2_b1.bcFZAR,neurog3_mid,0.2060943643512451,0,1,2
stg5diff1_S5d2_b1.bcBMFN,neurog3_mid,0.2893184796854521,0,1,2
stg5diff1_S5d2_b1.bcGWGO,neurog3_mid,0.2976736566186107,0,1,2
stg5diff1_S5d2_b1.bcBDTS,prog_nkx61,0.1106410673608851,1,1,2
stg5diff1_S5d2_b1.bcIBBZ,neurog3_mid,0.2540137614678899,0,1,2
stg5diff1_S5d2_b1.bcFYXO,neurog3_early,0.2196550602017572,1,1,2
stg5diff1_S5d2_b1.bcBEZC,neurog3_mid,0.2987385321100917,0,1,2
stg5diff1_S5d2_b1.bcAXGI,prog_nkx61,0.1317169069462647,0,1,2
stg5diff1_S5d2_b1.bcEYHJ,neurog3_mid,0.2499186462739993,1,1,2
stg5diff1_S5d2_b1.bcHSJD,neurog3_mid,0.2322247706422018,0,1,2
stg5diff1_S5d2_b1.bcAMAQ,neurog3_mid,0.287748128864302,1,1,2
stg5diff1_S5d2_b1.bcADAE,neurog3_mid,0.3129914809960681,0,1,2
stg5diff1_S5d2_b1.bcARQW,neurog3_mid,0.219248291571754,1,1,2
stg5diff1_S5d2_b1.bcGHSL,neurog3_mid,0.2259174311926605,0,1,2
stg5diff1_S5d3_b1.bcAPKZ,neurog3_late,0.3740989515072084,0,1,3
stg5diff1_S5d3_b1.bcCFHC,sc_beta,0.912883435582822,1,1,3
stg5diff1_S5d3_b1.bcFHFK,sc_beta,0.5229038854805726,1,1,3
stg5diff1_S5d3_b1.bcGVPS,sc_ec,0.4594528178243774,0,1,3
stg5diff1_S5d3_b1.bcELJW,prog_nkx61,0.121135698014969,1,1,3
stg5diff1_S5d3_b1.bcERLH,neurog3_late,0.4435615989515072,0,1,3
stg5diff1_S5d3_b1.bcDXPZ,neurog3_late,0.3665629095674967,0,1,3
stg5diff1_S5d3_b1.bcBPZF,neurog3_mid,0.2333715596330275,0,1,3
stg5diff1_S5d3_b1.bcIECT,neurog3_late,0.3795871559633027,0,1,3
stg5diff1_S5d3_b1.bcFYCY,sc_ec,0.6247062279670975,0,1,3
stg5diff1_S5d3_b1.bcFAIP,neurog3_early,0.1702733485193621,1,1,3
stg5diff1_S5d3_b1.bcBICX,neurog3_early,0.1460299381711682,1,1,3
stg5diff1_S5d3_b1.bcIHHH,neurog3_early,0.1965506020175724,1,1,3
stg5diff1_S5d3_b1.bcFQMR,neurog3_late,0.4222258379433778,1,1,3
stg5diff1_S5d3_b1.bcGCLJ,neurog3_late,0.3617800195248942,1,1,3
stg5diff1_S5d3_b1.bcBZLY,neurog3_mid,0.3248454279205988,1,1,3
stg5diff1_S5d3_b1.bcFEZU,neurog3_mid,0.2466415465268676,0,1,3
stg5diff1_S5d3_b1.bcFFYB,sc_ec,0.5800528789659225,0,1,3
stg5diff1_S5d3_b1.bcGCRA,neurog3_late,0.3742627785058978,0,1,3
stg5diff1_S5d3_b1.bcCOMB,neurog3_mid,0.2690367718841523,1,1,3
stg5diff1_S5d3_b1.bcHFRG,neurog3_late,0.3830946957370648,1,1,3
stg5diff1_S5d3_b1.bcAYTK,neurog3_late,0.328506345590628,1,1,3
stg5diff1_S5d3_b1.bcASJB,neurog3_late,0.4337780670354702,1,1,3
stg5diff1_S5d3_b1.bcAATY,neurog3_late,0.3557503276539974,0,1,3
stg5diff1_S5d3_b1.bcBKWN,neurog3_early,0.1522941750732183,1,1,3
stg5diff1_S5d3_b1.bcHRHG,sc_beta,0.7441717791411043,1,1,3
stg5diff1_S5d3_b1.bcFPCM,neurog3_mid,0.2544233289646134,0,1,3
stg5diff1_S5d3_b1.bcEGBV,neurog3_late,0.4145785876993166,1,1,3
stg5diff1_S5d3_b1.bcHJNW,neurog3_mid,0.3134829619921363,0,1,3
stg5diff1_S5d3_b1.bcFBZJ,neurog3_mid,0.2425968109339407,1,1,3
stg5diff1_S5d3_b1.bcFNCA,neurog3_late,0.3863488447770908,1,1,3
stg5diff1_S5d3_b1.bcENRW,neurog3_mid,0.3227391874180865,0,1,3
stg5diff1_S5d3_b1.bcAMIJ,neurog3_early,0.164891874180865,0,1,3
stg5diff1_S5d3_b1.bcAKZL,neurog3_late,0.56786133960047,0,1,3
stg5diff1_S5d3_b1.bcGLZZ,neurog3_mid,0.3039375203384315,1,1,3
stg5diff1_S5d3_b1.bcHIQM,prog_nkx61,0.1239017246989912,1,1,3
stg5diff1_S5d3_b1.bcGMFQ,neurog3_late,0.4659941425317279,1,1,3
stg5diff1_S5d3_b1.bcBNYR,neurog3_late,0.325524246395806,0,1,3
stg5diff1_S5d3_b1.bcGCCM,prog_nkx61,0.1199213630406291,0,1,3
stg5diff1_S5d3_b1.bcAFZZ,neurog3_late,0.4149737876802097,0,1,3
stg5diff1_S5d3_b1.bcCZSW,neurog3_late,0.4273427260812582,0,1,3
stg5diff1_S5d3_b1.bcHIIV,neurog3_late,0.4738041002277904,1,1,3
stg5diff1_S5d3_b1.bcEFBJ,neurog3_late,0.4061178001952489,1,1,3
stg5diff1_S5d3_b1.bcHBBQ,neurog3_late,0.4763260657338106,1,1,3
stg5diff1_S5d3_b1.bcIFEB,neurog3_late,0.3409534656687276,1,1,3
stg5diff1_S5d3_b1.bcGLIP,neurog3_late,0.3394495412844037,0,1,3
stg5diff1_S5d3_b1.bcHRSR,neurog3_late,0.4470019659239843,0,1,3
stg5diff1_S5d3_b1.bcBNSY,neurog3_late,0.334043250327654,0,1,3
stg5diff1_S5d3_b1.bcCVKS,neurog3_mid,0.3426441677588466,0,1,3
