dimension,minimum_balanced_accuracy,mean_balanced_accuracy,minimum_roc_auc,mean_roc_auc
5,0.9748447685357213,0.978033513205237,0.9976070058864377,0.9980784753125078
10,0.9759889332954468,0.979146511320344,0.9976835077182783,0.9981197901177625
20,0.9742754183641387,0.9784490761000864,0.9975679142910465,0.9980280120860727
30,0.9749288364827988,0.9793880059555374,0.9975700159897236,0.9980162503072849
50,0.9687227304596667,0.974750222922758,0.9967482518070406,0.9974527308200043
