dimension,branch,replicate_geometry_correlation
5,0,0.9976738660912016
5,1,0.9985427958843714
10,0,0.9969160941521086
10,1,0.9984405735479842
20,0,0.9970604570472349
20,1,0.9982470110253133
30,0,0.9971106337088408
30,1,0.9982499172228647
50,0,0.9971008717676136
50,1,0.9982616672792364
