dimension,mean_knn_overlap_vs_50PC,median_knn_overlap_vs_50PC,q25_knn_overlap_vs_50PC,q75_knn_overlap_vs_50PC
5,0.10297253991933256,0.1,0.03333333333333333,0.13333333333333333
10,0.23092251873952524,0.23333333333333334,0.13333333333333333,0.3
20,0.4032009134942998,0.4,0.3,0.5
30,0.5440908337477208,0.5333333333333333,0.4666666666666667,0.6333333333333333
50,1.0,1.0,1.0,1.0
