dimension,minimum_generalization_rho,mean_generalization_rho,mean_absolute_error
5,0.9499326397088154,0.9551053835514551,0.06741369888292083
10,0.9517352237649741,0.9558566167637849,0.06513736940450197
20,0.9550687218993453,0.959006608795638,0.062462979009221216
30,0.9546258075179369,0.9593624078862785,0.06216875087417173
50,0.9556094272831012,0.9605183358380485,0.06128842092356548
