CellWeek,Differentiation,NEUROG3,PDX1,NKX6-1,INS,PAX4,NEUROD1,TPH1,SLC18A1,ISL1,PTF1A
0,1,0.0440499671268902,0.9936445321060706,0.4746877054569362,0.6241507779969319,0.1108919570458032,0.4225290379136533,0.0030681569143107606,0.0133683979837826,0.23493315801008108,0.2671488056103441
0,2,0.07314074984634296,1.2636754763368163,0.7971727105101414,0.7971727105101414,0.14197910264290103,0.4677320221266134,0.008604794099569761,0.016594960049170254,0.3583282114320836,0.35894283958205286
1,1,0.8076923076923077,0.8411626541397533,0.21491485613623018,1.2833235466823254,0.321491485613623,1.1923076923076923,0.012037580739870817,0.021432765707574866,0.43335290663534937,0.0892542571931885
1,2,0.8159509202453987,1.0202093107181522,0.3182966438108986,0.9747383616023096,0.36809815950920244,1.2544207867195958,0.021652832912306026,0.01623962468422952,0.4702273547455792,0.15662215806568025
2,1,1.3388259526261586,0.6725025746652935,0.7070030895983522,1.609165808444902,0.7950566426364573,2.442327497425335,0.09062821833161688,0.0592173017507724,0.5731204943357363,0.04943357363542739
2,2,1.217283950617284,0.6333333333333333,0.5666666666666667,1.3450617283950617,0.608641975308642,2.0845679012345677,0.10308641975308643,0.04567901234567901,0.4685185185185185,0.056790123456790124
3,1,1.2250947948983109,0.7755946225439504,1.0124095139607032,3.9241640813512584,0.6718372974836263,2.2540503274732853,0.20820406756290935,0.16442605997931747,0.6873491899345053,0.038262668045501554
3,2,0.8760442773600668,0.4012113617376775,0.49895572263993315,3.0369674185463658,0.5020885547201337,1.5745614035087718,0.12541771094402673,0.10192147034252297,0.4949874686716792,0.031119465329991644
4,1,0.7222055738687444,0.5855558885226251,1.1426430925981421,4.065028468684447,0.531315552891819,2.5124363200479474,0.583158525621816,0.21845969433623014,0.7683548097093198,0.023673958645489962
4,2,0.6958320076360165,0.787782373528476,1.294304804327076,4.807508749602291,0.6239261851734013,2.5163856188355074,0.7413299395482024,0.18867324212535794,0.6815144766146993,0.042316258351893093
5,1,0.5812910938433951,0.7414823670053795,1.4181111775254034,9.713687985654513,0.5002988643156007,2.8756724447101014,1.0167364016736402,0.28451882845188287,0.8224745965331739,0.0484160191273162
5,2,0.4267495094833224,0.656965336821452,1.1334205362982341,7.967625899280575,0.40353172007848265,2.183126226291694,0.9829954218443427,0.2053629823413996,0.7269457161543492,0.020928711576193592
6,1,0.3235294117647059,0.7344771241830066,1.0665849673202614,17.54656862745098,0.4579248366013072,2.295343137254902,1.6172385620915033,0.22589869281045752,0.886437908496732,0.025735294117647058
6,2,0.2417952314165498,0.526507713884993,0.6990182328190744,11.290042075736325,0.2962131837307153,1.4712482468443198,1.0992987377279102,0.1455820476858345,0.57054698457223,0.019635343618513323
7,1,0.41475945819710414,0.46099953292853807,0.8351237739374124,12.397944885567492,0.29939280709948624,1.615133115366651,1.0901447921531995,0.14852872489490893,0.7202241943017281,0.016347501167678656
7,2,0.29453551912568304,0.7202185792349727,1.1754098360655738,15.460109289617487,0.3699453551912568,2.237158469945355,1.8743169398907105,0.25136612021857924,0.7486338797814208,0.020218579234972677
