day,n_cells_diff1,n_cells_diff2,cluster_proportion_correlation,cluster_proportion_L1_distance
0,4563,1627,0.992680338962485,0.10985478046137112
1,3406,2771,0.9952568938798982,0.11905243744825447
2,1942,1620,0.9964931297268637,0.08723983166139024
3,2901,9576,0.997090737180936,0.065148652396244
4,3337,3143,0.9956234006879973,0.10465217500329652
5,3346,3058,0.9991530821683662,0.05623301174308064
6,2448,3565,0.9938250915121637,0.1139140976633758
7,2141,1830,0.9874664458803305,0.15701206984122126
