CellWeek,exo,fev_high_isl_low,neurog3_early,neurog3_late,neurog3_mid,phox2a,prog_nkx61,prog_sox2,sc_alpha,sc_beta,sc_ec,sst_hhex
0,0.03810694529809465,0.03872157344806392,0.001229256299938537,0.0,0.0,0.0006146281499692685,0.3712354025814382,0.4499078057775046,0.07682851874615858,0.001229256299938537,0.0,0.022126613398893668
1,0.5261638397690365,0.07434139299891736,0.13749548899314326,0.006134969325153374,0.03897509924215085,0.0007217610970768675,0.12125586430891375,0.007939372067845544,0.022374594009382895,0.010465535907614579,0.0,0.05413208228076507
2,0.4654320987654321,0.07592592592592592,0.04691358024691358,0.03888888888888889,0.2271604938271605,0.014814814814814815,0.027777777777777776,0.0024691358024691358,0.04506172839506173,0.013580246913580247,0.006172839506172839,0.03580246913580247
3,0.4069548872180451,0.07393483709273183,0.03279030910609858,0.14933166248955723,0.09262740183792816,0.045112781954887216,0.022138680033416874,0.0013575605680868838,0.0929406850459482,0.02819548872180451,0.017752715121136173,0.03686299081035923
4,0.4317531021317213,0.04613426662424435,0.013044861597200128,0.09035952911231308,0.07826916958320077,0.05027044225262488,0.026407890550429525,0.0,0.062360801781737196,0.0744511613108495,0.09258670060451797,0.03436207445116131
5,0.43623283191628515,0.016350555918901243,0.0068672334859385216,0.08698495748855462,0.032701111837802485,0.04251144538914323,0.015696533682145193,0.0013080444735120995,0.08011772400261609,0.1105297580117724,0.1461739699149771,0.024525833878351864
6,0.46143057503506313,0.018513323983169707,0.0036465638148667602,0.08106591865357644,0.04291725105189341,0.028611500701262272,0.012342215988779803,0.00028050490883590464,0.07349228611500701,0.12398316970546984,0.1332398316970547,0.020476858345021037
7,0.4060109289617486,0.018032786885245903,0.006557377049180328,0.06830601092896176,0.02459016393442623,0.034972677595628415,0.012568306010928962,0.0,0.06557377049180328,0.14153005464480875,0.19398907103825136,0.027868852459016394
