CellWeek,prog_nkx61,neurog3_early,neurog3_mid,neurog3_late,fev_high_isl_low,sc_beta,sc_ec,sc_alpha,sst_hhex,phox2a
0,0.33166397415185783,0.0014539579967689823,0.0006462035541195477,0.00016155088852988692,0.04798061389337641,0.0014539579967689823,0.0,0.09935379644588045,0.02213247172859451,0.00016155088852988692
1,0.0984296584102315,0.14294965193459608,0.03432086773514651,0.00453294479520803,0.07948842480168367,0.006799417192812044,0.0,0.029787922939938483,0.05617613728347094,0.0006475635421725757
2,0.027231892195395846,0.047164514317798986,0.24312184166198764,0.033688938798427846,0.06822010106681639,0.008702975856260528,0.005895564289724873,0.05165637282425604,0.03677709152161707,0.014598540145985401
3,0.02220084956319628,0.03189869359621704,0.09265047687745452,0.15292137533060832,0.06972830007213272,0.030616334054660577,0.01771259116774866,0.09409313136170554,0.03638695199166466,0.044962731425823514
4,0.024382716049382715,0.011574074074074073,0.07438271604938272,0.09861111111111111,0.043055555555555555,0.06882716049382716,0.08842592592592592,0.07561728395061729,0.03271604938271605,0.04521604938271605
5,0.01561524047470331,0.008900687070580887,0.03123048094940662,0.08697688944409744,0.019987507807620236,0.10915053091817614,0.1503747657713929,0.0816677076826983,0.027795128044971893,0.04059962523422861
6,0.01197405621154166,0.002993514052885415,0.038749376351238984,0.07367370696823548,0.019956760352569432,0.12073840013304507,0.14684849492765675,0.08049226675536338,0.020788292033926493,0.029436221520039912
7,0.0110803324099723,0.005036514731805591,0.03122639133719466,0.06043817678166709,0.018383278771090406,0.12289095945605641,0.18710652228657768,0.08839083354318811,0.022916142029715435,0.033996474439687736
