CellWeek,prog_nkx61,neurog3_early,neurog3_mid,neurog3_late,fev_high_isl_low,sc_beta,sc_ec,sc_alpha,sst_hhex,phox2a
0,0.6567498400511836,0.0028790786948176585,0.0012795905310300703,0.0003198976327575176,0.09500959692898273,0.0028790786948176585,0.0,0.1967370441458733,0.04382597568777991,0.0003198976327575176
1,0.21722043586995354,0.3154698106466595,0.07574133619149696,0.010003572704537335,0.17541979278313682,0.015005359056806002,0.0,0.06573776348695963,0.12397284744551626,0.0014290818149339049
2,0.05070569785676947,0.08782017773131208,0.45269210663878723,0.06272869837950862,0.12702561421850497,0.01620491374803973,0.01097752221641401,0.09618400418191322,0.06847882906429692,0.027182435964453737
3,0.03742737467909742,0.0537765166869342,0.15619510876908527,0.25780299959464936,0.11755168220510742,0.051614646669369005,0.02986082961761924,0.1586272125388461,0.06134306174841238,0.07580056749087961
4,0.04332327940773238,0.02056484782012613,0.13216342199067727,0.17521250342747463,0.07650123389086921,0.12229229503701673,0.15711543734576364,0.1343570057581574,0.058129969838223196,0.08034000548395942
5,0.027285129604365622,0.015552523874488404,0.054570259208731244,0.15197817189631652,0.034924965893588,0.1907230559345157,0.2627557980900409,0.1427012278308322,0.04856753069577081,0.07094133697135062
6,0.02194452910697958,0.005486132276744895,0.0710149344711978,0.13501981103322158,0.0365742151782993,0.22127400182871076,0.26912526668698566,0.14751600121914052,0.03809814081072844,0.053946967387991464
7,0.019055868341273277,0.0086617583369424,0.053702901689042876,0.1039411000433088,0.03161541792983976,0.21134690342139453,0.32178432221741016,0.15201385881333912,0.039411000433087914,0.0584668687743612
