CellWeek,exo,fev_high_isl_low,neurog3_early,neurog3_late,neurog3_mid,phox2a,prog_nkx61,prog_sox2,sc_alpha,sc_beta,sc_ec,sst_hhex
0,0.03764135702746365,0.04798061389337641,0.0014539579967689823,0.00016155088852988692,0.0006462035541195477,0.00016155088852988692,0.33166397415185783,0.45735056542810987,0.09935379644588045,0.0014539579967689823,0.0,0.02213247172859451
1,0.5386109762020398,0.07948842480168367,0.14294965193459608,0.00453294479520803,0.03432086773514651,0.0006475635421725757,0.0984296584102315,0.00825643516270034,0.029787922939938483,0.006799417192812044,0.0,0.05617613728347094
2,0.4609769792251544,0.06822010106681639,0.047164514317798986,0.033688938798427846,0.24312184166198764,0.014598540145985401,0.027231892195395846,0.0019651880965749578,0.05165637282425604,0.008702975856260528,0.005895564289724873,0.03677709152161707
3,0.4051454676604953,0.06972830007213272,0.03189869359621704,0.15292137533060832,0.09265047687745452,0.044962731425823514,0.02220084956319628,0.001683096898292859,0.09409313136170554,0.030616334054660577,0.01771259116774866,0.03638695199166466
4,0.4361111111111111,0.043055555555555555,0.011574074074074073,0.09861111111111111,0.07438271604938272,0.04521604938271605,0.024382716049382715,0.0010802469135802468,0.07561728395061729,0.06882716049382716,0.08842592592592592,0.03271604938271605
5,0.4264522173641474,0.019987507807620236,0.008900687070580887,0.08697688944409744,0.03123048094940662,0.04059962523422861,0.01561524047470331,0.0012492192379762648,0.0816677076826983,0.10915053091817614,0.1503747657713929,0.027795128044971893
6,0.454182604357226,0.019956760352569432,0.002993514052885415,0.07367370696823548,0.038749376351238984,0.029436221520039912,0.01197405621154166,0.00016630633627141194,0.08049226675536338,0.12073840013304507,0.14684849492765675,0.020788292033926493
7,0.4182825484764543,0.018383278771090406,0.005036514731805591,0.06043817678166709,0.03122639133719466,0.033996474439687736,0.0110803324099723,0.0002518257365902795,0.08839083354318811,0.12289095945605641,0.18710652228657768,0.022916142029715435
