CellWeek,exo,fev_high_isl_low,neurog3_early,neurog3_late,neurog3_mid,phox2a,prog_nkx61,prog_sox2,sc_alpha,sc_beta,sc_ec,sst_hhex
0,0.03747534516765286,0.05128205128205128,0.0015340784571553803,0.00021915406530791147,0.0008766162612316459,0.0,0.3175542406311637,0.46000438308130615,0.10738549200087662,0.0015340784571553803,0.0,0.022134560596099057
1,0.5487375220199647,0.0836758661186142,0.1473869641808573,0.0032295948326482677,0.030534351145038167,0.0005871990604815032,0.07985907222548444,0.008514386376981797,0.0358191426893717,0.003816793893129771,0.0,0.05783910745742807
2,0.4572605561277034,0.061791967044284246,0.04737384140061792,0.029351184346035016,0.2564366632337796,0.014418125643666324,0.026776519052523172,0.001544799176107106,0.057157569515962924,0.004634397528321318,0.005664263645726055,0.03759011328527292
3,0.39917269906928643,0.055842812823164424,0.028955532574974147,0.16477076870044813,0.0927266459841434,0.04446742502585315,0.0224060668734919,0.002757669769045157,0.09789727680110306,0.038607376766632194,0.017580144777662874,0.03481558083419511
4,0.4402157626610728,0.04015582858855259,0.010188792328438718,0.10638297872340426,0.07072220557386874,0.04045549895115373,0.022475277195085405,0.002097692538207971,0.08810308660473479,0.06353011687144142,0.08450704225352113,0.03116571771051843
5,0.41751344889420205,0.023311416616855946,0.010759115361625823,0.08696951583980873,0.029886431560071727,0.038852361028093245,0.015540944411237299,0.001195457262402869,0.0830842797369994,0.10789001793185894,0.15421398684997012,0.03078302450687388
6,0.44362745098039214,0.022058823529411766,0.002042483660130719,0.06290849673202614,0.032679738562091505,0.030637254901960783,0.011437908496732025,0.0,0.09068627450980392,0.11601307189542484,0.16666666666666666,0.021241830065359478
7,0.42877160205511444,0.018682858477347034,0.0037365716954694066,0.05371321812237272,0.036898645492760396,0.033162073797290983,0.009808500700607193,0.00046707146193367583,0.10789350770667912,0.10695936478281177,0.18122372723026622,0.018682858477347034
