CellWeek,exo,fev_high_isl_low,neurog3_early,neurog3_late,neurog3_mid,phox2a,prog_nkx61,prog_sox2,sc_alpha,sc_beta,sc_ec,sst_hhex
0,62,63,2,0,0,1,604,732,125,2,0,36
1,1458,206,381,17,108,2,336,22,62,29,0,150
2,754,123,76,63,368,24,45,4,73,22,10,58
3,3897,708,314,1430,887,432,212,13,890,270,170,353
4,1357,145,41,284,246,158,83,0,196,234,291,108
5,1334,50,21,266,100,130,48,4,245,338,447,75
6,1645,66,13,289,153,102,44,1,262,442,475,73
7,743,33,12,125,45,64,23,0,120,259,355,51
