CellWeek,exo,fev_high_isl_low,neurog3_early,neurog3_late,neurog3_mid,phox2a,prog_nkx61,prog_sox2,sc_alpha,sc_beta,sc_ec,sst_hhex
0,171,234,7,1,4,0,1449,2099,490,7,0,101
1,1869,285,502,11,104,2,272,29,122,13,0,197
2,888,120,92,57,498,28,52,3,111,9,11,73
3,1158,162,84,478,269,129,65,8,284,112,51,101
4,1469,134,34,355,236,135,75,7,294,212,282,104
5,1397,78,36,291,100,130,52,4,278,361,516,103
6,1086,54,5,154,80,75,28,0,222,284,408,52
7,918,40,8,115,79,71,21,1,231,229,388,40
