sensitivity_type,sensitivity_label,scope,n_profiles,median_pearson,median_spearman,median_mean_abs_difference,median_abs_peak_shift,max_abs_peak_shift,median_primary_abs_peak_landmark_error,median_sensitivity_abs_peak_landmark_error,fraction_peak_within_0p05_of_primary,median_abs_transition_energy_peak_shift
dimension,30PC,cf_extension,14,0.9359015135710024,0.9431862909806557,0.0179624285927913,2.775557561562892e-17,0.091184345,0.0405031724999999,0.0366903349999999,0.9285714285714286,4.8572257327350605e-17
dimension,30PC,cm_extension,15,0.981825249944274,0.9730012960207364,0.011513363059329,0.0,0.06620017,0.0953951699999999,0.0953951699999999,0.9333333333333332,5.551115123125783e-17
dimension,30PC,shared_backbone,19,0.9849821746418796,0.9675537848605577,0.0130622956827303,0.0,0.2559913799999999,0.0376201649999999,0.035751855,0.9473684210526316,9.714451465470121e-17
window,sensitivity_w300_s75,cf_extension,14,0.9358198231375038,0.9402736043776702,0.0148258111632989,0.0020061375,0.032006265,0.0405031724999999,0.039072985,1.0,0.0012304422499999
window,sensitivity_w300_s75,cm_extension,15,0.9844594491255056,0.9749420630730092,0.0072173298732517,0.0092404099999999,0.113290145,0.0953951699999999,0.09389138,0.8666666666666667,0.0011875415
window,sensitivity_w300_s75,shared_backbone,19,0.95205844272077,0.9642167714683436,0.0154922673596572,0.0057827349999999,0.151843555,0.0376201649999999,0.0510928499999999,0.9473684210526316,0.0027688915
window,sensitivity_w500_s125,cf_extension,14,0.9489965306658226,0.9346352421638744,0.0151393719447461,0.0018115749999999,0.147063675,0.0405031724999999,0.0449308925,0.7857142857142857,0.0018677967499999
window,sensitivity_w500_s125,cm_extension,15,0.9878630187089286,0.9779941439063023,0.0062889337271535,0.00364824,0.407749945,0.0953951699999999,0.11643839,0.8,0.0012192935000001
window,sensitivity_w500_s125,shared_backbone,19,0.9617388836005576,0.9778305572889168,0.0145579713332114,0.002357145,0.2660052395,0.0376201649999999,0.027912495,0.9473684210526316,0.0015929534999999
