var_name_unique,gene_index,gene_name_original,highly_variable,highly_variable_nbatches,means,dispersions,dispersions_norm
PTPN13,9406,PTPN13,True,9,0.9855046784754993,2.191900143343626,1.1305879
SPARCL1,9423,SPARCL1,True,4,0.015002221123918457,1.9003861469799503,0.4814768
AC093895.1,9424,AC093895.1,True,6,0.001433205997676947,1.5433819840275624,-0.011389196
SPP1,9431,SPP1,True,13,0.26816326699703813,2.443372935484392,2.544053
GPRIN3,9451,GPRIN3,True,3,0.03887196506899523,2.0560313005204356,0.7366862
AC097520.2,9463,AC097520.2,True,4,0.0013416271100455826,1.2630877586469424,-0.48824695
ATOH1,9471,ATOH1,True,8,0.009414734474200376,2.062910386262017,0.7408949
PDLIM5,9476,PDLIM5,True,14,0.49243219253378934,2.235219096367544,1.8781413
AC058823.1,9495,AC058823.1,True,4,0.0012484300320682465,1.2748493631210125,-0.43846747
BANK1,9530,BANK1,True,4,0.011506810797555375,1.71234605628787,0.164137
KRT8P46,9537,KRT8P46,True,6,0.004552531706883988,1.9649287413748449,0.580121
CENPE,9547,CENPE,True,13,0.9526261718143508,2.248107106119687,1.4325686
CXXC4-AS1,9556,CXXC4-AS1,True,4,0.002892989091244956,1.6304880497414067,0.03012073
AC004069.1,9560,AC004069.1,True,5,0.004211692975200426,1.811742695187292,0.35558465
NPNT,9573,NPNT,True,13,0.2902885914558006,2.4211527532676103,1.8576292
AC109361.1,9575,AC109361.1,True,4,0.0016022476319952545,1.5115763349521885,0.107013546
DKK2,9579,DKK2,True,4,0.006588909084582516,1.785993839164523,0.6010207
AC107071.1,9593,AC107071.1,True,4,0.0024461253605091125,1.5682874033876204,-0.12392878
KRT19P3,9614,KRT19P3,True,5,0.0030990384697149563,1.9217107198189516,0.54472953
PITX2,9624,PITX2,True,12,0.4162373245271267,2.1714641352661608,1.4050021
MIR302CHG,9648,MIR302CHG,True,19,1.9349324951663942,2.888553446325144,2.5745456
CAMK2D,9666,CAMK2D,True,8,0.3857896460932645,2.095800924429838,1.0927082
ARSJ,9667,ARSJ,True,4,0.036702269447832024,1.9698214086904173,0.6172767
ACTN4P1,9679,ACTN4P1,True,4,0.0009424431058063557,1.0724519462877051,-0.19676033
AC092670.1,9692,AC092670.1,True,4,0.0009870275522165098,1.3242627068196977,0.108524546
SYNPO2,9701,SYNPO2,True,3,0.08134480162539884,2.0539936486160575,0.7466515
MYOZ2,9702,MYOZ2,True,13,0.1263015712427759,2.38064924286457,1.392264
USP53,9704,USP53,True,4,0.3211370221449091,2.0205471344638766,0.7794192
AC093816.1,9729,AC093816.1,True,4,0.005304457439228664,1.8346740792580878,0.38311672
AC021205.3,9746,AC021205.3,True,5,0.00216548656926421,1.732344057399322,0.23231599
SPRY1,9749,SPRY1,True,4,0.3402609514623079,2.027796131498274,0.77089506
AC108052.1,9801,AC108052.1,True,4,0.17039011884713934,2.1122298808536035,0.8852331
