pc,variance,variance_ratio,cumulative_variance_ratio
1,31.526775360107422,0.03978823497891426,0.03978823497891426
2,20.322021484375,0.025647321715950966,0.06543555669486523
3,9.311311721801758,0.01175130158662796,0.07718685828149319
4,8.92413330078125,0.011262665502727032,0.08844952378422022
5,6.322182655334473,0.007978884503245354,0.09642840828746557
6,5.4175896644592285,0.006837246473878622,0.1032656547613442
7,4.522941589355469,0.005708159413188696,0.10897381417453289
8,3.771929979324341,0.004760348238050938,0.11373416241258383
9,3.577317237854004,0.004514738451689482,0.11824890086427331
10,3.026455879211426,0.0038195259403437376,0.12206842680461705
11,2.986607074737549,0.003769234986975789,0.12583766179159284
12,2.914356231689453,0.003678051056340337,0.12951571284793317
13,2.574495315551758,0.003249131143093109,0.13276484399102628
14,2.4020471572875977,0.003031493630260229,0.1357963376212865
15,2.264483690261841,0.0028578820638358593,0.13865421968512237
16,2.1830670833587646,0.0027551306411623955,0.14140935032628477
17,1.9947443008422852,0.002517458749935031,0.1439268090762198
18,1.966890573501587,0.0024823059793561697,0.14640911505557597
19,1.8910117149353027,0.002386543434113264,0.14879565848968923
20,1.7628859281539917,0.0022248427849262953,0.15102050127461553
21,1.7537223100662231,0.002213277854025364,0.1532337791286409
22,1.6775732040405273,0.0021171742118895054,0.1553509533405304
23,1.622401475906372,0.0020475450437515974,0.157398498384282
24,1.5908161401748657,0.0020076828077435493,0.15940618119202554
25,1.5412732362747192,0.0019451574189588428,0.16135133861098439
26,1.5370069742202759,0.001939773210324347,0.16329111182130873
27,1.5268975496292114,0.001927014673128724,0.16521812649443746
28,1.4938496351242065,0.00188530667219311,0.16710343316663057
29,1.4340749979019165,0.001809868379496038,0.1689133015461266
30,1.4160534143447876,0.0017871243180707097,0.1707004258641973
31,1.3826539516448975,0.0017449726583436131,0.17244539852254093
32,1.335633635520935,0.0016856308793649077,0.17413102940190583
33,1.3184309005737305,0.0016639202367514372,0.17579494963865727
34,1.306127667427063,0.0016483929939568043,0.17744334263261408
35,1.279366374015808,0.0016146189300343394,0.17905796156264842
36,1.2779663801193237,0.001612852094694972,0.1806708136573434
37,1.2646428346633911,0.0015960371820256114,0.182266850839369
38,1.2444502115249634,0.0015705531695857644,0.18383740400895476
39,1.2379332780838013,0.0015623285435140133,0.18539973255246878
40,1.2252190113067627,0.0015462825540453196,0.1869460151065141
41,1.207289218902588,0.001523654325865209,0.1884696694323793
42,1.193559169769287,0.0015063263708725572,0.18997599580325186
43,1.180871605873108,0.0014903140254318714,0.19146630982868373
44,1.1730585098266602,0.00148045364767313,0.19294676347635686
45,1.163270354270935,0.0014681004686281085,0.19441486394498497
46,1.151892066001892,0.0014537405222654343,0.1958686044672504
47,1.1480995416641235,0.0014489542227238417,0.19731755868997425
48,1.1280699968338013,0.0014236760325729847,0.19874123472254723
49,1.1199676990509033,0.001413450576364994,0.20015468529891223
50,1.1134216785430908,0.0014051891630515456,0.20155987446196377
