PC,variance,variance_ratio,cumulative_variance_ratio
1,44.674930572509766,0.0927605926990509,0.0927605926990509
2,19.108478546142578,0.03967580199241638,0.13243639469146729
3,8.75709342956543,0.018182750791311264,0.15061914548277855
4,6.246521949768066,0.012969938106834888,0.16358908358961344
5,5.0037126541137695,0.010389436036348343,0.17397851962596178
6,4.063838005065918,0.008437931537628174,0.18241645116358995
7,3.3675146102905273,0.006992123555392027,0.18940857471898198
8,3.0421054363250732,0.006316462066024542,0.19572503678500652
9,2.7851922512054443,0.005783021450042725,0.20150805823504925
10,2.6331892013549805,0.0054674106650054455,0.2069754689000547
11,2.315046548843384,0.004806836601346731,0.21178230550140142
12,2.112575054168701,0.004386435728520155,0.21616874122992158
13,2.039875030517578,0.004235485102981329,0.2204042263329029
14,1.855062484741211,0.0038517506327480078,0.22425597696565092
15,1.7135761976242065,0.0035579761024564505,0.22781395306810737
16,1.6004743576049805,0.0033231377601623535,0.23113709082826972
17,1.5722589492797852,0.003264552680775523,0.23440164350904524
18,1.5360138416290283,0.00318929529748857,0.2375909388065338
19,1.4849361181259155,0.0030832404736429453,0.24067417928017676
20,1.4334416389465332,0.0029763199854642153,0.24365049926564097
21,1.3273515701293945,0.002756040543317795,0.24640653980895877
22,1.3018771409988403,0.0027031467761844397,0.2491096865851432
23,1.2682299613952637,0.0026332836132496595,0.25174297019839287
24,1.235993504524231,0.002566349459812045,0.2543093196582049
25,1.2114412784576416,0.002515370724722743,0.25682469038292766
26,1.1929515600204468,0.0024769795127213,0.25930166989564896
27,1.1845985651016235,0.0024596359580755234,0.2617613058537245
28,1.1787618398666382,0.002447516890242696,0.2642088227439672
29,1.1463100910186768,0.002380135701969266,0.26658895844593644
30,1.1393511295318604,0.0023656864650547504,0.2689546449109912
31,1.1215434074401855,0.002328711561858654,0.27128335647284985
32,1.1065045595169067,0.002297485712915659,0.2735808421857655
33,1.0917798280715942,0.0022669120226055384,0.27584775420837104
34,1.0882811546325684,0.0022596477065235376,0.2781074019148946
35,1.0783272981643677,0.0022389800287783146,0.2803463819436729
36,1.0657062530517578,0.0022127744741737843,0.2825591564178467
37,1.058623194694519,0.002198067493736744,0.2847572239115834
38,1.0428074598312378,0.002165228594094515,0.28692245250567794
39,1.0371514558792114,0.0021534848492592573,0.2890759373549372
40,1.0318684577941895,0.0021425154991447926,0.291218452854082
41,1.0202395915985107,0.002118369797244668,0.29333682265132666
42,1.0149948596954346,0.002107480075210333,0.295444302726537
43,1.0029934644699097,0.00208256090991199,0.297526863636449
44,0.9952733516693115,0.002066531451418996,0.299593395087868
45,0.9937047362327576,0.002063274383544922,0.3016566694714129
46,0.9859966039657593,0.002047269605100155,0.30370393907651305
47,0.9735702276229858,0.0020214682444930077,0.30572540732100606
48,0.9653418064117432,0.0020043831318616867,0.30772979045286775
49,0.9565897583961487,0.001986210932955146,0.3097160013858229
50,0.9522387385368347,0.0019771766383200884,0.311693178024143
